plot_id,plot_label,comparison_class,latitude,longitude,canopy_cover_percent,distance_to_protected_area_m,adult_tree_count_per_0.04ha_plot,adult_tree_species_richness,adult_old_growth_species_richness,adult_introduced_species_richness,adult_threatened_or_endemic_species_richness,adult_medium_large_animal_dispersed_species_richness,adult_basal_area_per_ha,adult_aboveground_carbon_per_ha,adult_mean_wood_density,adult_mean_height,regeneration_individual_count_per_0.04ha_plot,regeneration_tree_species_richness,regeneration_old_growth_species_richness,regeneration_introduced_species_richness,regeneration_threatened_or_endemic_species_richness,regeneration_medium_large_animal_dispersed_species_richness,regeneration_mean_wood_density
IPTO_04U,Iyerpadi Top,Fragment,10.35028,76.98968,35,1088.9774771178,7,3,0,0,1,0,2.9612766599035756,2.9005902925405227,0.45678919942857144,10.571428571428571,56,7,1,1,4,1,0.5491691893999999
IPTO_05U,Iyerpadi Top,Fragment,10.3502,76.98984,35,1077.00811320039,16,9,2,0,3,0,4.9879159164999995,5.339120732196876,0.491938045,14.75,47,10,4,0,5,2,0.5870370238571428
SEL1_07U,Selaliparai 1,Fragment,10.33783,76.93429,40,2041.23724032908,7,4,0,2,1,0,58.190429236937625,303.4691868576974,0.5143514588571428,31.714285714285715,20,5,1,1,1,2,0.5118583489999999
SEL2_07U,Selaliparai 2,Fragment,10.34395,76.93364,88.5,1489.54029570434,12,1,0,1,0,0,17.433484314848204,93.01603729248839,0.544,45,19,1,0,1,0,0,0.484259167
HP40_05U,Iyerpadi-Akkamalai,Fragment,10.36707,76.99002,20,578.501007462812,7,6,0,0,2,0,6.919857981956754,9.322490173650152,0.5282539367142857,13.428571428571429,68,12,6,1,6,3,0.6068222266000001
HP40_08U,Iyerpadi-Akkamalai,Fragment,10.36812,76.99062,25,492.383818262196,9,6,1,0,1,0,11.624875987110915,18.636287523633673,0.5061357712222222,11,74,11,8,1,8,3,0.601611893875
OLV2_08U,Old Valparai,Fragment,10.3517,76.93798,40,1342.40372489344,10,5,1,0,2,0,5.0913666295097295,7.290312361023829,0.4820756047,10.1,101,10,2,1,5,1,0.5055154625
OLV1_10U,Old Valparai,Fragment,10.35079,76.9368,20,1276.83055069909,2,2,0,1,0,0,5.5246659620774174,30.989692968348432,0.5141295835,24.5,11,2,0,1,0,0,0.484259167
VAR2_10U,Varattuparai 2,Fragment,10.34901,76.91976,20,62.8405178281244,0,0,0,2,0,0,0,0,,,6,3,0,2,1,0,0.484259167
VAR3_10U,Varattuparai 3,Fragment,10.34875,76.9193,20,56.6708764029106,7,1,0,1,0,0,7.8035658034744975,9.950897673414664,0.55,8,32,5,1,1,2,2,0.4521295835
VAR4_10U,Varattuparai 4,Fragment,10.3467,76.92072,75,331.590186609453,10,8,5,0,4,3,5.4980075091095255,9.039304492414658,0.5689661586,18.2,41,5,4,2,3,1,0.57403664975
IPCO_07U,Iyerpadi Top,Fragment,10.35952,76.99557,0,250.408507341901,3,3,0,1,1,0,9.002201468635338,10.452980533528475,0.4656666666666667,21,11,5,1,1,1,0,0.48064694799999996
IPCO_08U,Iyerpadi Top,Fragment,10.35956,76.99491,0,322.253771353187,5,4,1,0,1,1,12.13258025557405,20.27329263853869,0.4162,21,50,8,4,0,3,2,0.63056479175
