date,tree_code,forest_500,lat,long,altitude,tree_sp,fruitcrop,height,gbh,gbh2,start_time,end_time,arr_time,species,num,dep_time
09-11-17,CAST01,0.973,10.314388,76.830726,953.29,Canarium strictum,242,31,225,N,6:46:00,11:46:00,9:24:00,MGSQ,1,9:24:20
09-11-17,CAST01,0.973,10.314388,76.830726,953.29,Canarium strictum,242,31,225,N,6:46:00,11:46:00,10:48:00,MGSQ,1,10:48:30
09-11-17,CAST01,0.973,10.314388,76.830726,953.29,Canarium strictum,242,31,225,N,6:46:00,11:46:00,11:00:00,MGSQ,1,11:00:25
11-11-17,CAST02,0.187,10.351326,76.936161,1056.844971,Canarium strictum,940,30,490,N,6:10:00,11:10:00,7:14:00,MGSQ,1,8:53:00
11-11-17,CAST02,0.187,10.351326,76.936161,1056.844971,Canarium strictum,940,30,490,N,6:10:00,11:10:00,7:32:00,MGSQ,1,9:20:00
11-11-17,CAST02,0.187,10.351326,76.936161,1056.844971,Canarium strictum,940,30,490,N,6:10:00,11:10:00,N,NONE,0,N
13-11-17,CAST03,0,10.367031,76.937235,1085.93042,Canarium strictum,120,23,280,N,6:30:00,11:30:00,N,NONE,0,N
13-11-17,CAST03,0,10.367031,76.937235,1085.93042,Canarium strictum,120,23,280,N,6:30:00,11:30:00,8:27:00,MIPI,1,8:40:00
14-11-17,CAST04,0.375,10.347321,76.93409,1115.218384,Canarium strictum,252,32,390,N,6:20:00,11:20:00,8:12:00,MIPI,2,8:12:30
14-11-17,CAST04,0.375,10.347321,76.93409,1115.218384,Canarium strictum,252,32,390,N,6:20:00,11:20:00,N,NONE,0,N
14-11-17,CAST04,0.375,10.347321,76.93409,1115.218384,Canarium strictum,252,32,390,N,6:20:00,11:20:00,8:51:00,MIPI,2,9:00:00
14-11-17,CAST04,0.375,10.347321,76.93409,1115.218384,Canarium strictum,252,32,390,N,6:20:00,11:20:00,8:56:00,MIPI,1,9:06:00
15-11-17,CAST05,0.964,10.313665,76.830927,954.44043,Canarium strictum,220,34,270,N,6:30:00,11:30:00,8:07:00,MIPI,1,8:09:00
16-11-17,CAST06,0,10.365955,76.938029,1076.873047,Canarium strictum,1120,28,285,N,6:40:00,11:40:00,N,NONE,0,N
17-11-17,CAST07,0.201,10.343269,76.903401,1062.516846,Canarium strictum,200,40,319,N,6:00:00,11:00:00,N,NONE,0,N
17-11-17,CAST07,0.201,10.343269,76.903401,1062.516846,Canarium strictum,200,40,319,N,6:00:00,11:00:00,8:37:00,MIPI,1,8:47:00
17-11-17,CAST07,0.201,10.343269,76.903401,1062.516846,Canarium strictum,200,40,319,N,6:00:00,11:00:00,8:38:00,MIPI,1,8:49:00
17-11-17,CAST07,0.201,10.343269,76.903401,1062.516846,Canarium strictum,200,40,319,N,6:00:00,11:00:00,8:38:00,MIPI,1,8:54:00
17-11-17,CAST07,0.201,10.343269,76.903401,1062.516846,Canarium strictum,200,40,319,N,6:00:00,11:00:00,9:00:00,MIPI,1,9:05:00
19-11-17,CAST08,0.422,10.34816631,76.93220099,1033.769775,Canarium strictum,260,36,228,N,6:30:00,11:30:00,N,NONE,0,N
23-11-17,HETR_ad_lib,N,N,N,N,Heynea trijuga,N,N,N,N,N,N,7:49:00,MGHO,5,7:51:00
23-11-17,HETR01,0.436,10.310907,76.910447,1093.895996,Heynea trijuga,180,16,109,N,6:10:00,11:10:00,9:24:00,LTMA,1,9:26:00
24-11-17,HETR_ad_lib,N,N,N,N,Heynea trijuga,N,N,N,N,N,N,6:58:00,LTMA,1,6:58:25
24-11-17,HETR02,0.42,10.31063165,76.91057048,1099.98,Heynea trijuga,520,14,143,N,6:00:00,11:00:00,7:25:30,SHMY,2,7:28:40
24-11-17,HETR02,0.42,10.31063165,76.91057048,1099.98,Heynea trijuga,520,14,143,N,6:00:00,11:00:00,7:35:50,SHMY,2,7:37:00
24-11-17,HETR02,0.42,10.31063165,76.91057048,1099.98,Heynea trijuga,520,14,143,N,6:00:00,11:00:00,7:40:07,SHMY,2,7:55:50
24-11-17,HETR02,0.42,10.31063165,76.91057048,1099.98,Heynea trijuga,520,14,143,N,6:00:00,11:00:00,7:54:00,SHMY,2,7:55:50
24-11-17,HETR02,0.42,10.31063165,76.91057048,1099.98,Heynea trijuga,520,14,143,N,6:00:00,11:00:00,8:37:35,SHMY,2,8:37:45
24-11-17,HETR02,0.42,10.31063165,76.91057048,1099.98,Heynea trijuga,520,14,143,N,6:00:00,11:00:00,9:37:38,SHMY,1,9:37:54
24-11-17,HETR02,0.42,10.31063165,76.91057048,1099.98,Heynea trijuga,520,14,143,N,6:00:00,11:00:00,10:58:40,SHMY,2,11:00:00
01-12-17,CAST_ad_lib,N,N,N,N,Canarium strictum,N,N,N,N,N,N,10:33:00,MIPI,2,10:34:00
01-12-17,CAST_ad_lib,N,N,N,N,Canarium strictum,N,N,N,N,N,N,10:33:00,MIPI,3,10:37:00
01-12-17,CAST_ad_lib,N,N,N,N,Canarium strictum,N,N,N,N,N,N,10:34:00,MIPI,1,10:37:00
01-12-17,CAST_ad_lib,N,N,N,N,Canarium strictum,N,N,N,N,N,N,N,MIPI,1,11:01:00
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,13:02:00,SHMY,7,13:07:00
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,13:07:00,SHMY,1,13:08:00
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,13:27:00,SHMY,6,13:28:00
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,13:27:02,SHMY,3,13:27:50
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,14:21:02,SHMY,4,14:21:26
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,14:37:00,SHMY,5,14:39:20
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,14:43:43,SHMY,4,14:44:45
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,14:54:40,MGSQ,1,14:55:10
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,15:01:00,SHMY,2,15:02:00
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,15:01:00,SHMY,2,15:03:00
02-12-17,HETR03,0.408,10.349208,76.930833,1027.31,Heynea trijuga,500,24,178,N,12:50:00,16:35:00,16:10:00,SHMY,2,16:11:30
03-12-17,HETR04,0,10.36795079,76.93855111,1069.62,Heynea trijuga,500,18,143,N,6:25:00,11:25:00,N,NONE,0,N
03-12-17,HETR05,0.681,10.394738,76.992656,1310.6,Heynea trijuga,90,14,86,N,13:15:00,17:22:00,13:27:49,MGHO,1,13:57:00
03-12-17,HETR05,0.681,10.394738,76.992656,1310.6,Heynea trijuga,90,14,86,N,13:15:00,17:22:00,13:29:00,MGHO,1,14:02:00
03-12-17,HETR05,0.681,10.394738,76.992656,1310.6,Heynea trijuga,90,14,86,N,13:15:00,17:22:00,13:29:00,UNID,1,13:31:00
