date,tree_code,tree_sp,sample_type,st_time,species,State,S,P,D,Prd,Reg,end_time
11-11-17,CAST02,Canarium strictum,focal,7:17:00,MGSQ,P,0,0,0,2,0,7:28:00
11-11-17,CAST02,Canarium strictum,scan,7:18:00,MGSQ,F,N,N,N,N,N,7:18:00
11-11-17,CAST02,Canarium strictum,scan,7:19:00,MGSQ,F,N,N,N,N,N,7:19:00
11-11-17,CAST02,Canarium strictum,scan,7:20:00,MGSQ,F,N,N,N,N,N,7:20:00
11-11-17,CAST02,Canarium strictum,scan,7:21:00,MGSQ,F,N,N,N,N,N,7:21:00
11-11-17,CAST02,Canarium strictum,scan,7:22:00,MGSQ,F,N,N,N,N,N,7:22:00
11-11-17,CAST02,Canarium strictum,scan,7:23:00,MGSQ,F,N,N,N,N,N,7:23:00
11-11-17,CAST02,Canarium strictum,scan,7:24:00,MGSQ,F,N,N,N,N,N,7:24:00
11-11-17,CAST02,Canarium strictum,scan,7:25:00,MGSQ,F,N,N,N,N,N,7:25:00
11-11-17,CAST02,Canarium strictum,scan,7:26:00,MGSQ,F,N,N,N,N,N,7:26:00
11-11-17,CAST02,Canarium strictum,scan,7:27:00,MGSQ,F,N,N,N,N,N,7:27:00
11-11-17,CAST02,Canarium strictum,focal,7:30:00,MGSQ,P,0,0,0,0,0,7:33:00
11-11-17,CAST02,Canarium strictum,scan,7:31:00,MGSQ,F,N,N,N,N,N,7:31:00
11-11-17,CAST02,Canarium strictum,scan,7:32:00,MGSQ,F,N,N,N,N,N,7:32:00
11-11-17,CAST02,Canarium strictum,focal,7:33:00,MGSQ,P,0,0,0,2,0,7:40:00
11-11-17,CAST02,Canarium strictum,scan,7:34:00,MGSQ,F,N,N,N,N,N,7:34:00
11-11-17,CAST02,Canarium strictum,scan,7:35:00,MGSQ,F,N,N,N,N,N,7:35:00
11-11-17,CAST02,Canarium strictum,scan,7:36:00,MGSQ,F,N,N,N,N,N,7:36:00
11-11-17,CAST02,Canarium strictum,scan,7:37:00,MGSQ,F,N,N,N,N,N,7:37:00
11-11-17,CAST02,Canarium strictum,scan,7:38:00,MGSQ,F,N,N,N,N,N,7:38:00
11-11-17,CAST02,Canarium strictum,scan,7:39:00,MGSQ,F,N,N,N,N,N,7:39:00
11-11-17,CAST02,Canarium strictum,focal,7:41:00,MGSQ,P,0,0,0,1,0,7:51:00
11-11-17,CAST02,Canarium strictum,scan,7:42:00,MGSQ,F,N,N,N,N,N,7:42:00
