species,fruit_type,fruit_weight ,fruit_L,fruit_W1,fruit_W2,seed_weight,seed_L,seed_W1,seed_W2,aril_weight,pulp_weight
Heynea trijuga,Arillate,1.44,1.4,1.5,1.2,1.28,1.3,1.4,1.1,0.16,N
Heynea trijuga,Arillate,0.91,1.1,1.3,1.1,0.76,1.1,1.2,1,0.15,N
Heynea trijuga,Arillate,1,1.2,1.3,1.2,0.9,1.1,1.3,1,0.1,N
Heynea trijuga,Arillate,0.77,1.2,1.2,1.2,0.65,1.1,1.1,1,0.12,N
Heynea trijuga,Arillate,0.96,1.3,1.2,1.1,0.84,1.3,1.2,1,0.12,N
Heynea trijuga,Arillate,1.21,1.35,1.36,1.18,1.06,1.28,1.3,1.16,0.15,N
Heynea trijuga,Arillate,1.54,1.4,1.52,1.26,1.23,1.3,1.4,1.2,0.31,N
Heynea trijuga,Arillate,1.4,1.3,1.4,1.23,1.18,1.27,1.38,1.22,0.22,N
Heynea trijuga,Arillate,1.54,1.43,1.43,1.26,1.32,1.37,1.38,1.2,0.22,N
Heynea trijuga,Arillate,1.6,1.4,1.48,1.29,1.37,1.37,1.47,1.28,0.23,N
Heynea trijuga,Arillate,1.6,1.44,1.51,1.26,1.34,1.38,1.4,1.22,0.26,N
Heynea trijuga,Arillate,1.47,1.38,1.43,1.25,1.24,1.33,1.37,1.22,0.23,N
Heynea trijuga,Arillate,1.55,1.45,1.42,1.25,1.29,1.39,1.4,1.19,0.26,N
Heynea trijuga,Arillate,1.53,1.38,1.45,1.25,1.32,1.34,1.43,1.22,0.21,N
Heynea trijuga,Arillate,1.25,1.25,1.35,1.17,1.02,1.16,1.3,1.12,0.23,N
Heynea trijuga,Arillate,0.98,1.15,1.27,1.11,0.76,1.09,1.18,1.06,0.22,N
Heynea trijuga,Arillate,1.29,1.27,1.39,1.2,1.02,1.23,1.35,1.14,0.27,N
Heynea trijuga,Arillate,1.08,1.25,1.28,1.12,0.85,1.11,1.2,1.06,0.23,N
Heynea trijuga,Arillate,1.48,1.23,1.44,1.26,1.18,1.23,1.4,1.18,0.3,N
Heynea trijuga,Arillate,1.07,1.14,1.34,1.09,0.82,1.08,1.27,1.04,0.25,N
Heynea trijuga,Arillate,1.37,1.19,1.44,1.22,1.12,1.19,1.39,1.15,0.25,N
Heynea trijuga,Arillate,1.31,1.21,1.42,1.18,1.04,1.21,1.36,1.06,0.27,N
Heynea trijuga,Arillate,1.62,1.29,1.51,1.28,1.32,1.21,1.46,1.17,0.3,N
Heynea trijuga,Arillate,1.45,1.25,1.44,1.25,1.2,1.18,1.41,1.15,0.25,N
Heynea trijuga,Arillate,2.09,1.4,1.66,1.47,1.75,1.38,1.62,1.3,0.34,N
Heynea trijuga,Arillate,1.62,1.23,1.52,1.32,1.34,1.2,1.47,1.2,0.28,N
Heynea trijuga,Arillate,1.43,1.34,1.46,1.24,1.19,1.27,1.41,1.13,0.24,N
Heynea trijuga,Arillate,2.06,1.58,1.61,1.39,1.77,1.47,1.56,1.3,0.29,N
Heynea trijuga,Arillate,1.31,1.23,1.43,1.22,1.11,1.23,1.37,1.13,0.2,N
Heynea trijuga,Arillate,1.37,1.26,1.44,1.18,1.17,1.11,1.4,1.12,0.2,N
Heynea trijuga,Arillate,1.34,1.22,1.46,1.25,1.16,1.22,1.43,1.22,0.18,N
Heynea trijuga,Arillate,1.39,1.27,1.41,1.19,1.2,1.23,1.39,1.16,0.19,N
Heynea trijuga,Arillate,1.48,1.34,1.46,1.2,1.3,1.29,1.43,1.18,0.18,N
Heynea trijuga,Arillate,1.63,1.41,1.53,1.2,1.42,1.36,1.5,1.17,0.21,N
Heynea trijuga,Arillate,1.42,1.22,1.44,1.21,1.16,1.22,1.4,1.2,0.26,N
Heynea trijuga,Arillate,1.5,1.22,1.51,1.25,1.29,1.22,1.51,1.18,0.21,N
Heynea trijuga,Arillate,1.12,1.14,1.32,1.06,0.86,1.02,1.32,0.9,0.26,N
Heynea trijuga,Arillate,1.45,1.2,1.48,1.22,1.18,1.17,1.45,1.14,0.27,N
Heynea trijuga,Arillate,2,1.36,1.65,1.36,1.75,1.34,1.63,1.33,0.25,N
Heynea trijuga,Arillate,1.14,1.08,1.38,1.15,0.95,1.08,1.37,1.03,0.19,N
Heynea trijuga,Arillate,2.03,1.34,1.68,1.41,1.7,1.34,1.64,1.27,0.33,N
Heynea trijuga,Arillate,1.43,1.2,1.53,1.15,1.19,1.16,1.49,1.13,0.24,N
Heynea trijuga,Arillate,1.23,1.2,1.34,1.16,1.03,1.08,1.33,1.09,0.2,N
Heynea trijuga,Arillate,1.03,1.12,1.3,1.1,0.89,1.12,1.26,1.1,0.14,N
Heynea trijuga,Arillate,1.19,1.2,1.35,1.22,1.03,1.18,1.33,1.12,0.16,N
Heynea trijuga,Arillate,0.95,1.08,1.26,1.09,0.81,1.05,1.23,1.04,0.14,N
Heynea trijuga,Arillate,0.97,1.08,1.3,1.08,0.82,1.04,1.24,1.04,0.15,N
Heynea trijuga,Arillate,0.89,1.08,1.2,1.06,0.76,1.06,1.18,0.9,0.13,N
Heynea trijuga,Arillate,0.85,1.02,1.21,1.05,0.7,0.9,1.18,0.9,0.15,N
Heynea trijuga,Arillate,1.22,1.14,1.35,1.21,1.04,1.14,1.3,1.16,0.18,N
Heynea trijuga,Arillate,1.24,1.19,1.36,1.23,1.1,1.17,1.36,1.19,0.14,N
Heynea trijuga,Arillate,1.09,1.23,1.3,1.07,0.94,1.21,1.27,1.04,0.15,N
Heynea trijuga,Arillate,0.96,1.08,1.27,1.08,0.81,1.08,1.21,1.05,0.15,N
Heynea trijuga,Arillate,0.85,1.24,1.2,1,0.7,1.18,1.11,0.97,0.15,N
Heynea trijuga,Arillate,1.19,1.31,1.38,1.17,0.93,1.2,1.2,1,0.26,N
Heynea trijuga,Arillate,0.95,1.23,1.29,1.08,0.84,1.1,1.2,1,0.11,N
Heynea trijuga,Arillate,1.07,1.2,1.28,1,0.9,1.2,1.2,1,0.17,N
Heynea trijuga,Arillate,1.03,1.23,1.29,1,0.88,1.2,1.1,1,0.15,N
Heynea trijuga,Arillate,0.83,1.2,1.2,9.7,0.67,1.1,1,0.9,0.16,N
Heynea trijuga,Arillate,0.77,1.1,1,0.96,0.65,1.1,1,0.9,0.12,N
Heynea trijuga,Arillate,1.05,1.3,1.2,1,0.88,1.2,1.2,1,0.17,N
Heynea trijuga,Arillate,0.66,1.1,1,0.9,0.57,1.1,1,0.8,0.09,N
Heynea trijuga,Arillate,0.71,1.1,1,0.8,0.56,1.1,1,0.8,0.15,N
Heynea trijuga,Arillate,1.29,1.3,1.4,1.2,1.08,1.2,1.4,1.2,0.21,N
Heynea trijuga,Arillate,0.96,1.2,1.2,1.1,0.76,1.1,1.2,1,0.2,N
Heynea trijuga,Arillate,0.97,1.1,1.3,1.1,0.8,1.1,1.2,1.1,0.17,N
Heynea trijuga,Arillate,1.46,1.4,1.5,1.3,1.2,1.2,1.4,1.2,0.26,N
