Sno,Common name,Code,Scientific name,Habitat,Body mass (g),Gape width (mm)
1,Asian Fairy-bluebird ,AFBL,Irena puella,RF,64.9,11.55
2,Flame-throated Bulbul,FTBU,Rubigula gularis,RF,29.5,8.83
3,Great Hornbill,GRHO,Buceros bicornis,RF,3006,58.29
4,Indian Blackbird,INBL ,Turdus simillimus,RF,74.9,12.38
5,Indian Golden Oriole,IGOR,Oriolus kundoo,OF,79,14.75
6,Jungle Myna,JUMY,Acridotheres fuscus,OF,82.8,12.93
7,Large-billed Crow,LBCR,Corvus macrorhynchos,OF,521,24.74
8,Malabar Grey Hornbill,MGHO,Ocyceros griseus,RF,292,35.67
9,Malabar Starling,MAST ,Sturnia blythii,RF,39.6,11.9
10,Malabar Whistling-Thrush,MWTH,Myophonus horsfieldii,RF,117,15.43
11,Mountain Imperial Pigeon,MIPI ,Ducula badia,RF,486,14.16
12,Orange-headed Thrush,OHTH,Geokichla citrina,RF,53.3,10.69
13,Red-whiskered Bulbul,RWBU,Pycnonotus jocosus ,OF,27.4,9.59
14,Southern Hill Myna,SHMY,Gracula indica,RF,126,15.69
15,Square-tailed Bulbul,STBU,Hypsipetes ganeesa,RF,42.9,10.75
16,White-bellied Treepie,WBTR,Dendrocitta leucogastra,RF,99.2,19.19
17,White-cheeked Barbet,WCBA,Psilopogon viridis,RF,80.5,17.63
18,Yellow-browed Bulbul,YBBU,Iole indica,RF,30.6,10.16
