Code,Common name,Scientific name,Remarks
AFBL,Asian Fairy-bluebird ,Irena puella,
BUsp.,Bulbul sp.,na,Either Rubigula gularis or Iole indica
FTBU,Flame-throated Bulbul,Rubigula gularis,
GRHO,Great Hornbill,Buceros bicornis,
INBL ,Indian Blackbird,Turdus simillimus,
IGOR,Indian Golden Oriole,Oriolus kundoo,
JUMY,Jungle Myna,Acridotheres fuscus,
LBCR,Large-billed Crow,Corvus macrorhynchos,
MGHO,Malabar Grey Hornbill,Ocyceros griseus,
MAST ,Malabar Starling,Sturnia blythii,
MWTH,Malabar Whistling-Thrush,Myophonus horsfieldii,
MIPI ,Mountain Imperial Pigeon,Ducula badia,
OHTH,Orange-headed Thrush,Geokichla citrina,
RWBU,Red-whiskered Bulbul,Pycnonotus jocosus ,
SHMY,Southern Hill Myna,Gracula indica,
STBU,Square-tailed Bulbul,Hypsipetes ganeesa,
WBTR,White-bellied Treepie,Dendrocitta leucogastra,
WCBA,White-cheeked Barbet,Psilopogon viridis,
YBBU,Yellow-browed Bulbul,Iole indica,
BOMA,Bonnet macaque,Macaca radiata,
DSSQ,Dusky-striped squirrel,Funambulus sublineatus,
LTMA,Lion-tailed macaque,Macaca silenus,
MGSQ,Malabar giant squirrel,Ratufa indica,
NILA,Nilgiri langur,Semnopithecus johnii,
NONE,na,na,No visitors
UNID,na,na,Unidentified visitor
