Data file,Columns,Description,Explanation
1_Vis_rate,na,Contains information on the vistations of frugivores on focal tree species,
1_Vis_rate,date,Date when the tree watch was done,
1_Vis_rate,tree_code,Unique identifier for each tree observed,
1_Vis_rate,forest_500,Proportion of forest cover in a 500 m radius from the focal tree; The land use maps were taken from Wordley et al. 2015,
1_Vis_rate,lat,Latitude of the observed tree,
1_Vis_rate,long,Longitude of the observed tree,
1_Vis_rate,altitude,Elevation in metres of the observed tree,
1_Vis_rate,tree_sp,Species name of the tree observed,
1_Vis_rate,fruit crop,Estimated ripe fruits on the tree,
1_Vis_rate,height,Height of the tree in metres,
1_Vis_rate,gbh,Girth at breast height in cm,
1_Vis_rate,gbh2,Girth at breast height in cm,
1_Vis_rate,start_time,Start time of tree watches,
1_Vis_rate,end_time,End time of tree watches,
1_Vis_rate,arr_time,Arrival time of the frugivore visitor,
1_Vis_rate,species,Species name of the frugivore visitor,
1_Vis_rate,num,Number of frugivore visitors,
1_Vis_rate,dep_time,Departure time of the frugivore visitors,
2_Focal_scans,na,Contains information on the focal and scans done on frugivores which visited the focal trees,
2_Focal_scans,date,Date when the tree watch was done,
2_Focal_scans,tree_code,"Unique identifier for each tree observed; Opportunistic observations for the 4 tree species have been labeled as CAST_ad_lib, HETR_ad_lib, PEMA_ad_lib, MYDA_ad_lib",
2_Focal_scans,tree_sp,Species name of the tree observed,
2_Focal_scans,sample_type,Focal or scan,
2_Focal_scans,st_time,Start time of focal,
2_Focal_scans,species,Species name of the frugivore visitor,
2_Focal_scans,State,"State of the observed frugivore, P: Preening, F: Foraging, Pr: Preening, C: Calling",
2_Focal_scans,S,Swallowed,When the fruit was swallowed
2_Focal_scans,P,Pecked,When the fruit was pecked
2_Focal_scans,D,Dropped,When the fruit was dropped
2_Focal_scans,Prd,Predated,When the seeds were damaged
2_Focal_scans,Reg,Regurgitated,When the seed was regurgitated
2_Focal_scans,end_time,End time of the focal,
3_Fruit_seed_traits,na,Contains the summarised data of fruit and seed measurements,
3_Fruit_seed_traits,Tree species,Species name of the tree ,
3_Fruit_seed_traits,Fruit type,Arillate or Drupaceous ,
3_Fruit_seed_traits,Colour of ripe fruits / aril,Colour of the ripe fruit or aril,
3_Fruit_seed_traits,fruit_weight ,Fruit weight in g,
3_Fruit_seed_traits,fruit_L,Fruit length (in cm) measured from the base of the fruit to the apex.,
3_Fruit_seed_traits,fruit_W1,Fruit width1(in cm) longest axis perpendicular to the axis of the length,
3_Fruit_seed_traits,fruit_W2,Fruit width2 (in cm) being the longest axis perpendicular to the axis of the length and width1,
3_Fruit_seed_traits,seed_weight,Seed weight in g,
3_Fruit_seed_traits,seed_L,Seed length (in cm) measured from the base of the seed to the apex,
3_Fruit_seed_traits,seed_W1,Seed width1 (in cm) measured as longest axis perpendicular to the axis of the length.,
3_Fruit_seed_traits,seed_W2,Seed width2 (in cm) measured as the longest axis perpendicular to the axis of the width1 and length,
3_Fruit_seed_traits,aril_weight,Aril weight in g,
3_Fruit_seed_traits,pulp_weight,Pulp weight in g,
4_Body_mass_Gape_width,na,Contains the summarised data on the body mass and gape width of the frugivores,
4_Body_mass_Gape_width,Common name,Common name of the frugivore,
4_Body_mass_Gape_width,Code,Four letter code for each frugivore species,
4_Body_mass_Gape_width,Scientific name,Scientific name of the frugivore,
4_Body_mass_Gape_width,Habitat,RF or OF,"The frugivores were classified as rainforest species or open forest species (RF, OF respectively) following Raman, 2006 and Sidhu et al. 2010"
4_Body_mass_Gape_width,Body mass (g),Body mass measurement in g,"The body mass information was obtained from Dunning, 2007."
4_Body_mass_Gape_width,Gape width (mm),Gape width measurement in mm ,At least three individuals per species were measured from museum collections in Bombay Natural History Society following Naniwadekar et al. (2019).
5_Species_code,na,"Contains the species code, its corresponding common name and scientific name",
5_Species_code,Code,Four letter code for each frugivore species,
5_Species_code,Common name,Common name of the frugivore,
5_Species_code,Scientific name,Scientific name of the frugivore,
5_Species_code,Remarks,Additional information on the species,
,,,
,,,
References,,,
"Wordley, C. F., Sankaran, M., Mudappa, D., & Altringham, J. D. (2015). Landscape-scale habitat suitability modelling of bats in the Western Ghats of India: Bats like something in their tea. Biological Conservation, 191, 529-536.",,,
"Dunning Jr, J. B. (2007). CRC handbook of avian body masses. CRC press.",,,
"Naniwadekar, R., Chaplod, S., Datta, A., Rathore, A., and Sridhar, H. (2019). Large frugivores matter: insights from network and seed dispersal effectiveness approaches. Journal of Animal Ecology. ",,,
"Raman, T. R. S. (2006). Effects of habitat structure and adjacent habitats on birds in tropical rainforest fragments and shaded plantations in the Western Ghats , India. Biodiversity & Conservation, 15, 1577-1607.",,,
"Sidhu, S., Raman, T. R.S., & Goodale, E. (2010). Effects of plantations and home-gardens on tropical forest bird communities and mixed-species bird flocks in the southern Western Ghats. Journal of the Bombay Natural History Society, 107(2), 91.",,,
