S_No.,Site_name,Site_ID,Treatment,Lat_final,Long_final,dist_PA,CanCover
1,Iyerpadi Top,IPTO_04U,Fragment,10.35028,76.98968,1088.9774771178,35
2,Iyerpadi Top,IPTO_05U,Fragment,10.3502,76.98984,1077.00811320039,35
3,Selaliparai 1,SEL1_07U,Fragment,10.33783,76.93429,2041.23724032908,40
4,Selaliparai 2,SEL2_07U,Fragment,10.34395,76.93364,1489.54029570434,88.5
5,Iyerpadi-Akkamalai,HP40_05U,Fragment,10.36707,76.99002,578.501007462812,20
6,Iyerpadi-Akkamalai,HP40_08U,Fragment,10.36812,76.99062,492.383818262196,25
7,Old Valparai,OLV2_08U,Fragment,10.3517,76.93798,1342.40372489344,40
8,Old Valparai,OLV1_10U,Fragment,10.35079,76.9368,1276.83055069909,20
9,Varattuparai 2,VAR2_10U,Fragment,10.34901,76.91976,62.8405178281244,20
10,Varattuparai 3,VAR3_10U,Fragment,10.34875,76.9193,56.6708764029106,20
11,Varattuparai 4,VAR4_10U,Fragment,10.3467,76.92072,331.590186609453,75
12,Iyerpadi Top,IPCO_07U,Fragment,10.35952,76.99557,250.408507341901,0
13,Iyerpadi Top,IPCO_08U,Fragment,10.35956,76.99491,322.253771353187,0
14,Iyerpadi Top,IPTO_06U,Fragment,10.34976,76.98991,1091.16355704892,0
15,Iyerpadi Top,IPTO_07U,Fragment,10.34987,76.98985,1091.82154893174,0
16,Thenmalai,THEN_10U,Fragment,10.35466,76.93964,1417.35765455723,0
17,Candura,CH05_08U,Fragment,10.30674099,76.83482091,574.626635634193,50
18,Candura,CH06_09U,Fragment,10.30674617,76.83390807,477.956445341689,75
19,Iyerpadi-Akkamalai,HP37_P1B,Benchmark,10.3727,76.99353,0,85
20,Iyerpadi-Akkamalai,HP37_P2B,Benchmark,10.37457,76.99343,0,60
21,Iyerpadi-Akkamalai,HP37_P3B,Benchmark,10.37526,76.99171,0,80
22,Iyerpadi-Akkamalai,HP37_P4B,Benchmark,10.37456,76.99097,0,75
23,Iyerpadi-Akkamalai,HP36_P1B,Benchmark,10.36442,76.99772,0,80
24,Iyerpadi-Akkamalai,HP36_P2B,Benchmark,10.3638,76.99726,0,75
25,Iyerpadi-Akkamalai,HP36_P3B,Benchmark,10.36657,76.99734,0,65
26,Iyerpadi-Akkamalai,HP36_P4B,Benchmark,10.36889,76.99519,0,70
27,Old Kavarkal,OLCA_P1B,Benchmark,10.37132,76.97489,104.703123194378,70
28,Old Kavarkal,OLCA_P2B,Benchmark,10.37068,76.97376,89.9483663114964,55
29,Manamboli,UPMA_P1B,Benchmark,10.3477,76.89621,0,75
30,Manamboli,UPMA_P2B,Benchmark,10.34762,76.89461,0,70
31,Manamboli,UPMA_P3B,Benchmark,10.34778,76.89386,0,80
32,Manamboli,UPMA_P4B,Benchmark,10.34822,76.89232,0,80
33,Manamboli,UPMA_P5B,Benchmark,10.3486,76.89059,0,75
34,Stanmore,STM2_04U,Fragment,10.32936,76.93313,2682.61101135183,5
35,Stanmore,STM1_02U,Fragment,10.3301,76.93306,2611.7445973629,5
36,Stanmore,STIN_02U,Fragment,10.32914,76.93286,2685.03467066891,10
37,Injipara,INOA_03U,Fragment,10.32413,76.92426,2797.98637599789,20
38,Injipara,INBS_04U,Fragment,10.32487,76.92616,2774.72947638802,5
39,Injipara,INDS_03U,Fragment,10.32414,76.92998,3002.85561010353,85
40,Injipara,INME_03U,Fragment,10.32322,76.92351,2879.04402693019,45
41,Pannimade,PANM_P1B,Fragment,10.29779,76.8932,3126.02211159522,95
42,Pannimade,PANM_P2B,Fragment,10.29697,76.89266,3021.3605175146,85
43,Pannimade,PANM_P3B,Fragment,10.29629,76.89201,2928.18279888063,100
44,Pannimade,PANM_P4B,Fragment,10.29793,76.89453,3189.67913704643,38
45,Manamboli,UPMA_P6B,Benchmark,10.34717,76.89074,48.3987242615618,100
46,Puthuthottam,PTTM_P1D,Fragment,10.33952,76.96782,2748.68634240037,75
47,Puthuthottam,PTTM_P2D,Fragment,10.33872,76.96769,2831.87572868572,90
48,Sirikundra,SIRK_P1D,Fragment,10.31167,76.95877,3171.2257226918,100
49,Sirikundra,SIRK_P2D,Fragment,10.31081,76.95982,3021.97259669545,95
50,Sirikundra,SIRK_P3D,Fragment,10.31213,76.95985,3112.57924459222,100
51,Old Kavarkal,OLCA_P3B,Benchmark,10.37043,76.97517,207.600652412477,99
52,Old Kavarkal,OLCA_P4B,Benchmark,10.36989,76.97445,205.359472409318,97
53,Old Kavarkal,OLCA_P5B,Benchmark,10.36953,76.97558,314.893531615907,66
54,Candura,J07,Fragment,10.30804,76.83481,556.833845732646,35
55,Candura,L17,Fragment,10.3167,76.83305,134.115059454284,85
56,Candura,L16,Fragment,10.31579,76.83305,165.26886912626,95
57,Candura,M17,Fragment,10.3167,76.83214,39.7347952768938,95
58,Candura,N14,Fragment,10.31399,76.83121,33.6508967771763,95
59,Candura,K13,Fragment,10.31307,76.83395,350.529794364171,90
