Date,Site_ID,Treatment,Species_name,Abun,Accept_name_WFO,Habit,Distribution,IUCN_status,wden_sps,Wden_final,seed_size,disperser,habt_new,ad_ht
2018-02-09T00:00:00Z,STM1_02U,Fragment,Atalantia racemosa,1,Atalantia racemosa,Tree,Endemic,LC,NA,NA,S,Mammal,Secondary,4
2018-02-09T00:00:00Z,STM1_02U,Fragment,Lantana camara,1,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-02-09T00:00:00Z,STM2_04U,Fragment,Clerodendrum viscosum,9,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-02-09T00:00:00Z,STM2_04U,Fragment,Maesa indica,1,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-02-09T00:00:00Z,STIN_02U,Fragment,Clerodendrum viscosum,4,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-02-09T00:00:00Z,STIN_02U,Fragment,Solanum sp.,1,Solanum sp.,Shrub,Native,NA,NA,0.35,S,Mammal_bird,Int,NA
2018-02-09T00:00:00Z,STIN_02U,Fragment,Maesopsis eminii,1,Maesopsis eminii,Tree,Introduced,LC,0.34,0.34,L,Mammal_bird,Int,30
2018-02-09T00:00:00Z,STIN_02U,Fragment,Litsea floribunda,2,Litsea floribunda,Tree,Endemic,NT,0.56358678,0.56358678,S,Bird,Secondary,10
2018-02-09T00:00:00Z,STIN_02U,Fragment,Lantana camara,3,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-02-20T00:00:00Z,INDS_03U,Fragment,Litsea oleoides,7,Litsea oleoides,Tree,Endemic,NA,NA,0.42,M,Bird,Mature,12
2018-02-20T00:00:00Z,INDS_03U,Fragment,Cinnamomum malabatrum,1,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15
2018-02-20T00:00:00Z,INDS_03U,Fragment,Actinodaphne malabarica,13,Actinodaphne wightiana,Tree,Endemic,LC,0.619460212,0.619460212,S,Bird,Secondary,12
2018-02-20T00:00:00Z,INDS_03U,Fragment,Heynea trijuga,12,Heynea trijuga,Tree,Native,LC,0.493174229,0.493174229,M,Bird,Secondary,10
2018-02-20T00:00:00Z,INDS_03U,Fragment,Maesa indica,5,Maesa indica,Tree,Native,LC,NA,NA,S,Mammal_bird,Secondary,4
2018-02-20T00:00:00Z,INDS_03U,Fragment,Litsea stocksii,1,Litsea stocksii,Tree,Endemic,NT,NA,0.42,M,Bird,Mature,8
2018-02-20T00:00:00Z,INDS_03U,Fragment,Persea macrantha,2,Machilus glaucescens,Tree,Endemic,NA,0.427,0.427,S,Bird,Secondary,30
2018-02-20T00:00:00Z,INDS_03U,Fragment,Maesopsis eminii,4,Maesopsis eminii,Tree,Introduced,LC,0.34,0.34,L,Mammal_bird,Int,30
2018-02-20T00:00:00Z,INDS_03U,Fragment,Melicope lunu-ankenda,1,Melicope lunu-ankenda,Tree,Native,LC,0.411118888,0.411118888,S,Mammal,Secondary,10
2018-02-20T00:00:00Z,INDS_03U,Fragment,Litsea coriacea,1,Litsea coriacea,Tree,Endemic,NT,NA,0.42,S,Mammal_bird,Mature,12
2018-02-20T00:00:00Z,INDS_03U,Fragment,Nothapodytes nimmoniana,1,Mappia nimmoniana,Tree,Native,NA,NA,NA,M,Bird,Secondary,8
2018-02-20T00:00:00Z,INME_03U,Fragment,Gomphandra coriacea,1,Gomphandra coriacea,Tree,Endemic,NA,NA,0.48,M,Bird,Mature,10
2018-02-20T00:00:00Z,INME_03U,Fragment,Symplocos sp.,28,Symplocos sp.,Tree,Native,NA,NA,0.52,NA,Bird,NA,NA
2018-02-20T00:00:00Z,INME_03U,Fragment,Litsea floribunda,10,Litsea floribunda,Tree,Endemic,NT,0.56358678,0.56358678,S,Bird,Secondary,10
2018-02-20T00:00:00Z,INME_03U,Fragment,Clerodendrum viscosum,12,Clerodendrum infortunatum,Tree,Native,LC,0.484259167,0.484259167,S,Bird,Secondary,4
2018-02-20T00:00:00Z,INME_03U,Fragment,Nothapodytes nimmoniana,6,Mappia nimmoniana,Tree,Native,NA,NA,NA,M,Bird,Secondary,8
2018-02-20T00:00:00Z,INME_03U,Fragment,Lantana camara,1,Lantana camara,Shrub,Introduced,NA,NA,NA,S,Mammal_bird,Int,5
2018-02-20T00:00:00Z,INME_03U,Fragment,Meiogyne pannosa,4,Meiogyne pannosa,Tree,Endemic,NT,NA,NA,S,Bird,Mature,8
2018-02-20T00:00:00Z,INME_03U,Fragment,Cinnamomum malabatrum,11,Cinnamomum malabathrum,Tree,Endemic,LC,NA,0.475,S,Bird,Secondary,15
2018-02-20T00:00:00Z,INME_03U,Fragment,Syzygium densiflorum,2,Syzygium densiflorum,Tree,Endemic,VU,NA,0.68,M,Mammal_bird,Mature,15
2018-02-20T00:00:00Z,INME_03U,Fragment,Dimocarpus longan,3,Dimocarpus longan,Tree,Native,DD,0.748685273,0.748685273,S,Mammal,Mature,25
