Scientific,Species,Diet.5Cat,Stratum,Replicate,SurveyID,Point,Time,Number,Distance,HSF,Remarks
Accipiter virgatus,Besra,VertFishScav,E_Rainforest,31,RF3,1,6:41,1,20,H,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,21,CT2,6,7:36,3,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,20,CT2,5,7:29,1,10,H,
Acridotheres fuscus,Jungle Myna,Omnivore,C_Shade Tea,10,ST1,10,8:03,2,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,20,OT2,5,7:14,2,10,S,Crotalaria plantation
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,5,OT1,5,7:41,2,20,F,"Flying over canopy, out of plot"
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,18,OT2,3,6:58,1,20,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,24,OT2,9,7:44,2,15,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,8,CT1,8,7:55,4,20,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,27,OT2,12,8:05,5,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,40,CT3,10,8:05,6,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,7,CT1,7,7:47,2,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,45,CT3,15,8:50,1,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,31,OT3,1,6:58,3,20,S,Exiting plot
Acridotheres fuscus,Jungle Myna,Omnivore,C_Shade Tea,26,ST2,11,8:36,1,50,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,44,CT3,14,8:40,4,10,S,Along riverine plot. Entering plot. Possibly same as previous record
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,22,OT2,7,7:30,1,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,28,OT2,13,8:12,2,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,15,CT1,15,8:42,3,30,F,"Flying over canopy, out of plot"
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,6,CT1,6,7:40,2,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,7,CT1,7,7:47,2,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,33,CT3,3,7:08,16,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,18,OT2,3,6:58,1,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,13,OT1,13,8:45,1,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,C_Shade Tea,13,ST1,13,8:24,4,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,26,CT2,11,8:12,4,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,18,OT2,3,6:58,1,5,S,Exiting plot
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,11,OT1,11,8:29,2,15,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,35,CT3,5,7:24,2,10,S,Exiting plot
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,5,OT1,5,7:41,2,30,H,Entering plot
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,21,CT2,6,7:36,2,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,10,OT1,10,8:20,1,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,19,CT2,4,7:20,4,20,S,Exiting plot
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,39,CT3,9,7:57,1,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,27,CT2,12,8:14,3,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,24,OT2,9,7:44,1,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,39,CT3,9,7:57,2,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,7,OT1,7,7:55,3,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,26,OT2,11,7:58,1,15,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,14,OT1,14,8:53,2,30,S,One enters nest hole in Silver Oak
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,30,OT2,15,8:29,2,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,19,OT2,4,7:05,6,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,20,CT2,5,7:29,3,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,9,OT1,9,8:11,3,15,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,26,OT2,11,7:58,3,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,30,OT2,15,8:29,2,30,S,Entering plot
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,7,CT1,7,7:47,2,30,H,"Clear, sunny"
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,42,CT3,12,8:21,2,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,25,OT2,10,7:51,1,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,24,OT2,9,7:44,1,5,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,14,OT1,14,8:53,1,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,21,OT2,6,7:22,1,20,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,28,OT2,13,8:12,2,30,S,Exiting plot
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,41,CT3,11,8:13,5,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,28,OT2,13,8:12,1,5,S,Entering plot
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,28,OT2,13,8:12,1,5,S,Carrying nesting material
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,28,OT2,13,8:12,1,15,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,38,CT3,8,7:48,1,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,11,OT1,11,8:29,2,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,18,OT2,3,6:58,1,50,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,34,CT3,4,7:15,2,10,S,Possibly same as previous record
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,24,OT2,9,7:44,1,5,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,30,OT2,15,8:29,2,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,17,OT2,2,6:51,3,50,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,18,CT2,3,7:13,1,20,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,14,OT1,14,8:53,2,15,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,23,OT2,8,7:37,1,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,29,OT2,14,8:20,2,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,44,CT3,14,8:40,2,15,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,45,CT3,15,8:50,1,30,F,Flying through plot
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,10,OT1,10,8:20,2,50,S,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,9,OT1,9,8:11,1,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,8,OT1,8,8:03,1,30,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,20,CT2,5,7:29,2,15,S,
Acridotheres fuscus,Jungle Myna,Omnivore,C_Shade Tea,33,ST3,3,7:08,1,30,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,28,OT2,13,8:12,2,10,S,
Acridotheres fuscus,Jungle Myna,Omnivore,A_Con Tea,37,CT3,7,7:41,1,20,H,
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,25,OT2,10,7:51,1,5,S,Entering plot
Acridotheres fuscus,Jungle Myna,Omnivore,B_Org Tea,27,OT2,12,8:05,2,15,S,
