Stratum,Replicate,SurveyID,Point,Time,BirdMamm,Habitat,Species,Number,Distance,HSF,Remarks
B_Org Tea,1,OT1,1,07:09,Bird,OC,Spotted Dove,1,30,H,"Clear, Misty"
B_Org Tea,1,OT1,1,07:09,Bird,OC,Large-billed Crow,2,20,S,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Red-whiskered Bulbul,1,15,S,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Red-whiskered Bulbul,1,30,H,
B_Org Tea,1,OT1,1,07:09,Bird,RF,Greenish Warbler,1,20,H,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Greater Coucal,1,30,S,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Brown Shrike,1,20,S,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Indian Peafowl,1,100,H,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Blyth's Reed-Warbler,1,10,H,
B_Org Tea,1,OT1,1,07:09,Bird,RF,Gray Junglefowl,1,50,H,
B_Org Tea,1,OT1,1,07:09,Bird,RF,Indian Pitta,1,10,S,
B_Org Tea,1,OT1,1,07:09,Bird,RF,White-cheeked Barbet,2,30,H,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Black-rumped Flameback,1,30,H,
B_Org Tea,1,OT1,1,07:09,Mammal,NA,STRIPE-NECKED MONGOOSE,2,30,S,
B_Org Tea,1,OT1,1,07:09,Bird,OC,Long-tailed Shrike,1,50,H,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Long-tailed Shrike,1,30,H,"Clear, light mist"
B_Org Tea,2,OT1,2,07:17,Bird,OC,Greater Coucal,2,15,S,
B_Org Tea,2,OT1,2,07:17,Bird,RF,Greenish Warbler,1,30,H,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Blyth's Reed-Warbler,1,30,H,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Spotted Dove,1,50,H,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Oriental Magpie-Robin,2,50,S,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Red-whiskered Bulbul,1,30,H,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Large-billed Crow,2,15,F,"Flying over canopy, out of plot"
B_Org Tea,2,OT1,2,07:17,Bird,OC,Purple Sunbird,1,30,H,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Red-whiskered Bulbul,2,30,S,
B_Org Tea,2,OT1,2,07:17,Bird,OC,House Crow,1,30,S,
B_Org Tea,2,OT1,2,07:17,Bird,OC,Red-whiskered Bulbul,1,15,S,
