Site_ID,lat,long
HP36_P1B,10.36442,76.99772
HP36_P2B,10.3638,76.99726
HP36_P3B,10.36657,76.99734
HP36_P4B,10.36889,76.99519
HP37_P1B,10.3727,76.99353
HP37_P2B,10.37457,76.99343
HP37_P3B,10.37526,76.99171
HP37_P4B,10.37456,76.99097
HP40_05R,10.36807,76.9929
HP40_05U,10.36707,76.99002
HP40_08R,10.3679,76.99445
HP40_08U,10.36812,76.99062
INBS_04R,10.32423,76.92737
INBS_04U,10.32487,76.92616
INDS_03R,10.32348,76.93007
INDS_03U,10.32414,76.92998
INME_03R,10.32031,76.93046
INME_03U,10.32322,76.92351
INOA_03R,10.32256,76.92633
INOA_03U,10.32413,76.92426
IPCO_07R,10.35868,76.9963
IPCO_07U,10.35952,76.99557
IPCO_08R,10.35891,76.99603
IPCO_08U,10.35956,76.99491
IPTO_04R,10.35229,76.99331
IPTO_04U,10.35144,76.98977
IPTO_05R,10.35164,76.99271
IPTO_05U,10.3507,76.99041
IPTO_06R,10.35122,76.99223
IPTO_06U,10.34993,76.99068
IPTO_07R,10.35036,76.9919
IPTO_07U,10.34976,76.98991
OLCA_P1B,10.37132,76.97489
OLCA_P2B,10.37068,76.97376
OLCA_P3B,10.37043,76.97517
OLCA_P4B,10.36989,76.97445
OLCA_P5B,10.36953,76.97558
OLV1_10R,10.34658,76.93341
OLV1_10U,10.35079,76.9368
OLV2_08R,10.34881,76.93459
OLV2_08U,10.3517,76.93798
PANM_P1B,10.29779,76.8932
PANM_P2B,10.29697,76.89266
PANM_P3B,10.29629,76.89201
PANM_P4B,10.29793,76.89453
SEL1_07R,10.33777,76.93587
SEL1_07U,10.33783,76.93429
SEL2_07R,10.34262,76.93369
SEL2_07U,10.34395,76.93364
STIN_02R,10.32727,76.93225
STIN_02U,10.32914,76.93286
STM1_02R,10.32985,76.93414
STM1_02U,10.3301,76.93306
STM2_04R,10.32971,76.93294
STM2_04U,10.32936,76.93313
THEN_10R,10.3539,76.93882
THEN_10U,10.35466,76.93964
UPMA_P1B,10.3477,76.89621
UPMA_P2B,10.34762,76.89461
UPMA_P3B,10.34778,76.89386
UPMA_P4B,10.34822,76.89232
UPMA_P5B,10.3486,76.89059
UPMA_P6B,10.34717,76.89074
VAR2_10R,10.35545,76.93008
VAR2_10U,10.34901,76.91976
VAR3_10R,10.35278,76.92908
VAR3_10U,10.34875,76.9193
VAR4_10R,10.34515,76.92229
VAR4_10U,10.3467,76.92072
