Species,Habitat,Habit
Ashy Drongo,RF,CAN
Asian Brown Flycatcher,OC,MID
Asian Emerald Dove,RF,TER
Asian Fairy-bluebird,RF,CAN
Bar-winged Flycatcher-shrike,RF,CAN
Black Kite,OC,TER
Black-and-rufous Flycatcher (Black-and-orange Flycatcher),RF,SHR
Black-naped Monarch,RF,MID
Black-rumped Flameback (Lesser Goldenbacked Woodpecker),OC,MID
Black-throated Munia,RF,SHR
Blue-throated Flycatcher (Blue-throated Blue-Flycatcher),RF,SHR
Blyth's Reed Warbler,OC,SHR
Booted Warbler,OC,SHR
Brahminy Kite,OC,AQU
Bronzed Drongo,RF,MID
Brown Shrike,OC,TER
Brown-breasted Flycatcher,RF,SHR
Brown-capped Pygmy Woodpecker (Indian Pygmy Woodpecker),OC,CAN
Brown-cheeked Fulvetta,RF,MID
Chestnut-headed Bee-eater,OC,AER
Common Flameback (Goldenbacked Three-toed Woodpecker),RF,MID
Common Hawk-Cuckoo,OC,CAN
Common Iora,OC,MID
Common Rosefinch,OC,CAN
Common Tailorbird,OC,SHR
Crimson-backed Sunbird (Small Sunbird),RF,CAN
Dark-fronted Babbler,RF,SHR
Flame-throated Bulbul (Ruby-throated Bulbul),RF,MID
Forest Wagtail,RF,TER
Golden-fronted Leafbird (Golden-fronted Chloropsis),RF,CAN
Great Hornbill (Great Pied Hornbill),RF,CAN
Greater Coucal,OC,SHR
Greater Flameback,RF,CAN
Greater Racket-tailed Drongo,RF,CAN
Green Warbler,RF,CAN
Greenish Warbler,RF,CAN
Grey Junglefowl,RF,TER
Grey Wagtail,RF,TER
Grey-breasted Prinia,OC,SHR
Grey-fronted Green-Pigeon (Pompadour Green-Pigeon),RF,CAN
Grey-headed Canary-Flycatcher,RF,MID
House Crow,OC,TER
Indian Blackbird,RF,CAN
Indian Blue Robin,RF,TER
Indian Golden Oriole,OC,CAN
Indian Paradise-Flycatcher,RF,MID
Indian Scimitar-Babbler,RF,SHR
Indian Yellow Tit,RF,CAN
Jungle Myna,OC,TER
Large-billed Crow,OC,TER
Large-billed Leaf Warbler,RF,MID
Lesser Yellownape,RF,CAN
Little Spiderhunter,RF,MID
Long-tailed Shrike,OC,TER
Malabar Barbet (Crimson-throated Barbet),RF,CAN
Malabar Grey Hornbill,RF,CAN
Malabar Parakeet (Blue-winged Parakeet),RF,CAN
Malabar Trogon,RF,MID
Malabar Whistling-Thrush,RF,TER
Malabar Woodshrike,RF,CAN
Mountain Imperial-Pigeon,RF,CAN
Nilgiri Flowerpecker,RF,CAN
Nilgiri Flycatcher,RF,CAN
Nilgiri Wood-Pigeon,RF,MID
Orange Minivet,RF,CAN
Orange-headed Thrush,RF,TER
Oriental Honey-buzzard (Crested Honey Buzzard),RF,CAN
Oriental Magpie-Robin,OC,TER
Oriental White-eye,RF,CAN
Peregrine Falcon,OC,AER
Plum-headed Parakeet,OC,CAN
Puff-throated Babbler,RF,TER
Purple Sunbird,OC,CAN
Red Spurfowl,RF,TER
Red-whiskered Bulbul,OC,MID
Rufous Babbler,RF,SHR
Rusty-tailed Flycatcher,RF,CAN
Small Minivet,OC,CAN
Southern Hill Myna,RF,CAN
Spotted Dove,OC,TER
Square-tailed Bulbul (Black Bulbul),RF,CAN
Streak-throated Woodpecker,OC,MID
Thick-billed Warbler,OC,SHR
Velvet-fronted Nuthatch,RF,CAN
Vernal Hanging-Parrot (Indian Lorikeet),RF,CAN
White-bellied Blue Flycatcher,RF,SHR
White-bellied Treepie,RF,CAN
White-bellied Woodpecker (Great Black Woodpecker),RF,CAN
White-cheeked Barbet (Small Green Barbet),RF,CAN
White-throated Kingfisher,OC,AQU
Wynaad Laughingthrush,RF,TER
Yellow-browed Bulbul,RF,MID
