id	license	institutionID	institutionCode	basisOfRecord	occurrenceID	recordedBy	recordedByID	individualCount	occurrenceStatus	occurrenceRemarks	organismRemarks	eventID	eventDate	eventTime	habitat	samplingProtocol	samplingEffort	continent	country	countryCode	stateProvince	locality	verbatimLocality	verbatimElevation	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimIdentification	identifiedBy	identifiedByID	identificationReferences	identificationRemarks	scientificName	kingdom	phylum	class	order	family	genus	vernacularName
urn:ncf:arp:herps:murugalli:CAN1:1	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN1:1	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Drizzle	Juvenile	urn:ncf:arp:herps:murugalli:CAN1	2017-09-11	07:00+05:30	Habitat:Forest | Microhabitat:Leaflitter	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN1	1019	10.316041	76.83433	WGS84	150	Duttaphrynus melanostictus	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Duttaphrynus melanostictus	Animalia	Chordata	Amphibia	Anura	Bufonidae	Duttaphrynus	
urn:ncf:arp:herps:murugalli:CAN1:2	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN1:2	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Drizzle		urn:ncf:arp:herps:murugalli:CAN1	2017-09-11	07:00+05:30	Habitat:Forest | Microhabitat:Grass	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN1	1019	10.316041	76.83433	WGS84	150	Fejervarya nilagirica	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Minervarya nilagirica	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Minervarya	
urn:ncf:arp:herps:murugalli:CAN1:3	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN1:3	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Drizzle		urn:ncf:arp:herps:murugalli:CAN1	2017-09-11	07:00+05:30	Habitat:Forest | Microhabitat:Leaflitter	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN1	1019	10.316041	76.83433	WGS84	150	Indosylvirana sreeni	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Indosylvirana sreeni	Animalia	Chordata	Amphibia	Anura	Ranidae	Indosylvirana	
urn:ncf:arp:herps:murugalli:CAN1:4	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN1:4	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Drizzle	Male with red chin and throat	urn:ncf:arp:herps:murugalli:CAN1	2017-09-11	07:00+05:30	Habitat:Forest | Microhabitat:Leaflitter	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN1	1019	10.316041	76.83433	WGS84	150	Eutropis macularia	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Eutropis macularia	Animalia	Chordata	Squamata		Scincidae	Eutropis	
urn:ncf:arp:herps:murugalli:CAN2:5	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN2:5	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Fair		urn:ncf:arp:herps:murugalli:CAN2	2017-09-11	09:00+05:30	Habitat:Stream | Microhabitat:Tree-trunk	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN2	941	10.313529	76.832786	WGS84	150	Draco dussumieri	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Draco dussumieri	Animalia	Chordata	Squamata		Agamidae	Draco	
urn:ncf:arp:herps:murugalli:CAN2:6	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN2:6	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Fair		urn:ncf:arp:herps:murugalli:CAN2	2017-09-11	09:00+05:30	Habitat:Stream | Microhabitat:Leaflitter	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN2	941	10.313529	76.832786	WGS84	150	Indirana brachytarsus	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Indirana brachytarsus	Animalia	Chordata	Amphibia	Anura	Ranixalidae	Indirana	
urn:ncf:arp:herps:murugalli:CAN2:7	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN2:7	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Fair		urn:ncf:arp:herps:murugalli:CAN2	2017-09-11	09:00+05:30	Habitat:Stream | Microhabitat:Grass	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN2	941	10.313529	76.832786	WGS84	150	Raorchestes sushili	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Raorchestes sushili	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Raorchestes	
urn:ncf:arp:herps:murugalli:CAN2:8	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN2:8	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Fair	Juvenile	urn:ncf:arp:herps:murugalli:CAN2	2017-09-11	09:00+05:30	Habitat:Stream | Microhabitat:Leaflitter	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN2	941	10.313529	76.832786	WGS84	150	Raorchestes sushili	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Raorchestes sushili	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Raorchestes	
urn:ncf:arp:herps:murugalli:CAN2:9	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN2:9	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Fair		urn:ncf:arp:herps:murugalli:CAN2	2017-09-11	09:00+05:30	Habitat:Stream | Microhabitat:Rock	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN2	941	10.313529	76.832786	WGS84	150	Micrixalus nelliyampathi	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Micrixalus nelliyampathi	Animalia	Chordata	Amphibia	Anura	Micrixalidae	Micrixalus	
urn:ncf:arp:herps:murugalli:CAN2:10	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:arp:herps:murugalli:CAN2:10	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	1	present	Day-or-night:day | Weather:Fair		urn:ncf:arp:herps:murugalli:CAN2	2017-09-11	09:00+05:30	Habitat:Stream | Microhabitat:Rock	time-constrained visual encounter survey	1 observer-hours	Asia	India	IN	Tamil Nadu	Candura	CAN2	941	10.313529	76.832786	WGS84	150	Micrixalus nelliyampathi	Harikrishnan Surendran	https://orcid.org/0000-0002-2340-2120	References to articles within Harikrishnan Surendran, Divya Mudappa, and T. R. Shankar Raman (2018). Herpetofaunal survey in rainforest remnants of the Western Ghats, India. Herpetological Bulletin, (146).	Identified by direct observation and using references listed in identificationReferences	Micrixalus nelliyampathi	Animalia	Chordata	Amphibia	Anura	Micrixalidae	Micrixalus	
