id	license	institutionID	institutionCode	basisOfRecord	occurrenceID	recordedBy	recordedByID	individualCount	occurrenceStatus	occurrenceRemarks	eventID	eventDate	habitat	sampleSizeValue	sampleSizeUnit	samplingEffort	continent	country	countryCode	stateProvince	locality	verbatimElevation	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	verbatimIdentification	identifiedBy	identifiedByID	identificationReferences	identificationRemarks	scientificName	kingdom	phylum	class	order	family	genus
urn:ncf:bvu:atr:frogs:Andiparai:1	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:1	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	8	present	Terrestrial_LeafLitter	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:rainforest_stream	55	minutes	7 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Indirana brachytarsus	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Indirana brachytarsus	Animalia	Chordata	Amphibia	Anura	Ranixalidae	Indirana
urn:ncf:bvu:atr:frogs:Andiparai:2	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:2	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	1	present	Terrestrial_LeafLitter	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:stream	55	minutes	1 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Indosylvirana sreeni	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Indosylvirana sreeni	Animalia	Chordata	Amphibia	Anura	Ranidae	Indosylvirana
urn:ncf:bvu:atr:frogs:Andiparai:3	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:3	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	30	present	SemiAquatic	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:rainforest_stream	55	minutes	6 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Micrixalus nelliyampathi	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Micrixalus nelliyampathi	Animalia	Chordata	Amphibia	Anura	Micrixalidae	Micrixalus
urn:ncf:bvu:atr:frogs:Andiparai:4	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:4	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	2	present	SemiAquatic	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:rainforest	55	minutes	1 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Micrixalus silvaticus	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Micrixalus silvaticus	Animalia	Chordata	Amphibia	Anura	Micrixalidae	Micrixalus
urn:ncf:bvu:atr:frogs:Andiparai:5	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:5	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	5	present	SemiAquatic	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:stream	55	minutes	4 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Micrixalus sp2	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Micrixalus	Animalia	Chordata	Amphibia	Anura	Micrixalidae	Micrixalus
urn:ncf:bvu:atr:frogs:Andiparai:6	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:6	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	5	present	SemiAquatic	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:rainforest_stream	55	minutes	5 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Nyctibatrachus anamallaiensis	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Nyctibatrachus anamallaiensis	Animalia	Chordata	Amphibia	Anura	Nyctibatrachidae	Nyctibatrachus
urn:ncf:bvu:atr:frogs:Andiparai:7	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:7	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	1	present	Aquatic	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:stream	55	minutes	1 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Nyctibatrachus cf deveni	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Nyctibatrachus deveni	Animalia	Chordata	Amphibia	Anura	Nyctibatrachidae	Nyctibatrachus
urn:ncf:bvu:atr:frogs:Andiparai:8	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:8	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	10	present	Aquatic	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:stream	55	minutes	5 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Nyctibatrachus poocha	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Nyctibatrachus poocha	Animalia	Chordata	Amphibia	Anura	Nyctibatrachidae	Nyctibatrachus
urn:ncf:bvu:atr:frogs:Andiparai:9	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:9	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	2	present	Arboreal	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:rainforest	55	minutes	2 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Raorchestes cf flaviventris	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Raorchestes flaviventris	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Raorchestes
urn:ncf:bvu:atr:frogs:Andiparai:10	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	urn:ncf:bvu:atr:frogs:Andiparai:10	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	5	present	Arboreal	urn:ncf:bvu:atr:frogs:Andiparai	2018-06-20/2018-09-22	habitat:rainforest_stream	55	minutes	4 transects of c.25 m length	Asia	India	IN	Tamil Nadu	Andiparai	1340	terrain:slope_medium	10.39528	76.9921	WGS84	Raorchestes cf kaikatti	Vijay Karthick	https://orcid.org/0000-0001-6023-3955	Peer-reviewed publications of checklists and species descriptions from the Western Ghats	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Raorchestes kaikatti	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Raorchestes
