"Year","verbatimLocality","Fragment","Point","0-1m","1-2m","2-4m","4-8m","8-16m","16-24m","24-32m","over32m","VertStrata","CanopyHeight","CanopyOpenness","CanopyCover","CanopyOverlap","UC","MC","CC","Altitude","RfShrub","Coffee","Maesopsis","Strobilanthes","TotalShrub","Liana","Cane","Lantana","Bamboo","LeafLitter","CutTrees"
2000,"Puthuthotam","Puthuthottam",1,1,1,1,1,0,1,0,0,5,19.5,7,93.00,"NA","NA","NA","NA",1100,"NA","NA","NA","NA",0,"Absent","Absent","NA","Absent",4.5,0
2000,"Puthuthotam","Puthuthottam",2,1,1,1,1,1,1,0,0,6,22,11,89.00,"NA","NA","NA","NA",1090,"NA","NA","NA","NA",5,"Absent","Absent","NA","Absent",4,0
2000,"Puthuthotam","Puthuthottam",3,1,1,1,1,0,0,1,0,5,27,4,96.00,"NA","NA","NA","NA",1200,"NA","NA","NA","NA",4,"Absent","Absent","NA","Absent",7,1
2000,"Puthuthotam","Puthuthottam",4,1,1,1,0,1,1,0,0,5,23,12,88.00,"NA","NA","NA","NA",1200,"NA","NA","NA","NA",6,"Absent","Absent","NA","Absent",3,2
2000,"Puthuthotam","Puthuthottam",5,1,1,1,1,1,0,0,0,5,12,15,85.00,"NA","NA","NA","NA",1100,"NA","NA","NA","NA",4,"Absent","Absent","NA","Absent",1,1
2000,"Puthuthotam","Puthuthottam",6,1,1,1,1,1,0,0,0,5,12,11,89.00,"NA","NA","NA","NA",1150,"NA","NA","NA","NA",7,"Absent","Absent","NA","Absent",2,0
2000,"Puthuthotam","Puthuthottam",7,1,1,0,1,0,0,1,1,5,33,8,92.00,"NA","NA","NA","NA",1160,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",3.5,0
2000,"Puthuthotam","Puthuthottam",8,1,0,0,1,0,1,1,0,4,24,12,88.00,"NA","NA","NA","NA",1160,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",7,1
2000,"Puthuthotam","Puthuthottam",9,1,1,1,1,0,0,1,0,5,20,5,95.00,"NA","NA","NA","NA",1150,"NA","NA","NA","NA",13,"Absent","Absent","NA","Absent",3.5,0
2000,"Puthuthotam","Puthuthottam",10,1,0,1,1,1,1,1,0,6,28,2,98.00,"NA","NA","NA","NA",1150,"NA","NA","NA","NA",7,"Absent","Absent","NA","Absent",3.5,0
2000,"Puthuthotam","Puthuthottam",11,1,0,0,1,1,0,1,0,4,30,21,79.00,"NA","NA","NA","NA",1150,"NA","NA","NA","NA",8,"Absent","Absent","NA","Absent",2.5,1
2000,"Puthuthotam","Puthuthottam",12,1,1,1,1,0,0,1,0,5,30,6,94.00,"NA","NA","NA","NA",1150,"NA","NA","NA","NA",6,"Absent","Absent","NA","Absent",7,0
2000,"Puthuthotam","Puthuthottam",13,1,1,1,1,1,1,1,1,8,35,11,89.00,"NA","NA","NA","NA",1140,"NA","NA","NA","NA",5,"Absent","Absent","NA","Absent",3.5,0
2000,"Puthuthotam","Puthuthottam",14,1,1,1,1,0,0,0,0,4,9,4,96.00,"NA","NA","NA","NA",1140,"NA","NA","NA","NA",6,"Absent","Absent","NA","Absent",6,0
2000,"Puthuthotam","Puthuthottam",15,1,1,1,1,0,0,0,0,4,8,19,81.00,"NA","NA","NA","NA",1140,"NA","NA","NA","NA",3,"Absent","Absent","NA","Absent",8,0
2000,"Puthuthotam","Puthuthottam",16,1,1,1,1,1,0,0,0,5,9,4,96.00,"NA","NA","NA","NA",1130,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",3.5,0
2000,"Puthuthotam","Puthuthottam",17,1,1,1,1,1,1,1,0,7,28,10,90.00,"NA","NA","NA","NA",1130,"NA","NA","NA","NA",7,"Absent","Absent","NA","Absent",2,0
2000,"Puthuthotam","Puthuthottam",18,1,1,1,1,0,1,1,1,7,34,8,92.00,"NA","NA","NA","NA",1130,"NA","NA","NA","NA",5,"Absent","Absent","NA","Absent",2.5,0
2000,"Puthuthotam","Puthuthottam",19,1,1,1,1,1,0,0,0,5,7,11,89.00,"NA","NA","NA","NA",1140,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",3,0
2000,"Puthuthotam","Puthuthottam",20,1,1,1,0,0,0,1,1,5,32,28,72.00,"NA","NA","NA","NA",1130,"NA","NA","NA","NA",7,"Absent","Absent","NA","Absent",3.5,0
2000,"Puthuthotam","Puthuthottam",21,1,1,1,1,1,0,0,0,5,10,8,92.00,"NA","NA","NA","NA",1140,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",2,0
2000,"Puthuthotam","Puthuthottam",22,1,1,1,1,1,0,0,1,6,35,9,91.00,"NA","NA","NA","NA",1140,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",3,2
2000,"Puthuthotam","Puthuthottam",23,1,1,1,0,0,0,1,0,4,25,10,90.00,"NA","NA","NA","NA",1160,"NA","NA","NA","NA",15,"Absent","Absent","NA","Absent",2,0
2000,"Puthuthotam","Puthuthottam",24,1,1,0,1,0,0,1,0,4,27,21,79.00,"NA","NA","NA","NA",1160,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",2.5,0
2000,"Puthuthotam","Puthuthottam",25,1,1,0,1,0,0,1,0,4,28,18,82.00,"NA","NA","NA","NA",1160,"NA","NA","NA","NA",17,"Absent","Absent","NA","Absent",1,0
2000,"Tata Finley","Old Valparai",1,1,1,1,1,0,1,1,1,7,37.5,0,100.00,"NA","NA","NA","NA",1000,"NA","NA","NA","NA",21,"Absent","Absent","NA","Absent",5.5,0
2000,"Tata Finley","Old Valparai",2,1,1,1,0,0,1,1,1,6,39,1,99.00,"NA","NA","NA","NA",1010,"NA","NA","NA","NA",11,"Present","Absent","NA","Absent",7.5,1
2000,"Tata Finley","Old Valparai",3,1,1,1,1,0,0,1,1,6,30.5,1,99.00,"NA","NA","NA","NA",1010,"NA","NA","NA","NA",17,"Present","Absent","NA","Absent",8,0
2000,"Tata Finley","Old Valparai",4,1,1,1,1,0,0,1,1,6,45,0,100.00,"NA","NA","NA","NA",1010,"NA","NA","NA","NA",19,"Absent","Absent","NA","Absent",6.5,1
2000,"Tata Finley","Old Valparai",5,1,1,1,1,0,0,1,1,6,43,2,98.00,"NA","NA","NA","NA",1020,"NA","NA","NA","NA",11,"Present","Absent","NA","Absent",3,0
2000,"Tata Finley","Old Valparai",6,1,0,0,0,0,1,1,0,3,28,7,93.00,"NA","NA","NA","NA",1040,"NA","NA","NA","NA",2,"Absent","Absent","NA","Absent",5,0
2000,"Tata Finley","Old Valparai",7,1,1,1,1,0,0,0,0,4,7.5,20,80.00,"NA","NA","NA","NA",1025,"NA","NA","NA","NA",7,"Absent","Absent","NA","Absent",2.5,0
2000,"Tata Finley","Old Valparai",8,1,1,1,0,0,1,0,1,5,41,7,93.00,"NA","NA","NA","NA",1025,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",2,1
2000,"Tata Finley","Old Valparai",9,1,1,1,1,1,1,1,1,8,39,0,100.00,"NA","NA","NA","NA",1025,"NA","NA","NA","NA",10,"Present","Absent","NA","Absent",10,0
2000,"Tata Finley","Old Valparai",10,1,1,1,0,1,1,0,0,5,22,3,97.00,"NA","NA","NA","NA",1025,"NA","NA","NA","NA",17,"Absent","Absent","NA","Absent",5.5,0
2000,"Tata Finley","Old Valparai",11,0,1,1,1,0,0,1,1,5,32,1,99.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",6,"Absent","Absent","NA","Absent",10.5,0
2000,"Tata Finley","Old Valparai",12,0,1,1,1,0,0,1,0,4,29,0,100.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",8,"Absent","Absent","NA","Absent",3,1
2000,"Tata Finley","Old Valparai",13,1,1,1,0,1,1,1,1,7,38,0,100.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",4.5,2
2000,"Tata Finley","Old Valparai",14,1,1,1,0,1,1,0,0,5,21,7,93.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",9,"Absent","Absent","NA","Absent",2,2
2000,"Tata Finley","Old Valparai",15,1,0,1,1,0,0,1,1,5,38,4,96.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",8,"Absent","Absent","NA","Absent",5,1
2000,"Tata Finley","Old Valparai",16,1,1,1,0,1,0,0,0,4,8.5,25,75.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",4,0
2000,"Tata Finley","Old Valparai",17,1,1,1,0,0,1,1,0,5,27,0,100.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",5,"Present","Absent","NA","Absent",4,2
2000,"Tata Finley","Old Valparai",18,1,0,0,1,0,1,1,0,4,28,0,100.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",6,"Absent","Present","NA","Absent",5,2
2000,"Tata Finley","Old Valparai",19,1,1,1,0,0,1,1,0,5,29,5,95.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",11,"Absent","Absent","NA","Absent",3,1
2000,"Tata Finley","Old Valparai",20,1,1,1,1,0,0,1,0,5,25,1,99.00,"NA","NA","NA","NA",1030,"NA","NA","NA","NA",12,"Absent","Absent","NA","Absent",4,0
