"pointID","note","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"2000_AKPCQ1","akm",10.333438,77.020770,200
"2000_AKPCQ10","akm",10.333438,77.020770,200
"2000_AKPCQ11","36hp",10.368692,76.995555,200
"2000_AKPCQ12","36hp",10.368692,76.995555,200
"2000_AKPCQ13","36hp",10.368692,76.995555,200
"2000_AKPCQ14","36hp",10.368692,76.995555,200
"2000_AKPCQ15","36hp",10.368692,76.995555,200
"2000_AKPCQ16","36hp",10.368692,76.995555,200
"2000_AKPCQ17","36hp",10.368692,76.995555,200
"2000_AKPCQ18","36hp",10.368692,76.995555,200
"2000_AKPCQ19","36hp",10.368692,76.995555,200
"2000_AKPCQ2","akm",10.333438,77.020770,200
"2000_AKPCQ20","36hp",10.368692,76.995555,200
"2000_AKPCQ21","iypd",10.371668,76.991853,200
"2000_AKPCQ22","iypd",10.371668,76.991853,200
"2000_AKPCQ23","iypd",10.371668,76.991853,200
"2000_AKPCQ24","iypd",10.371668,76.991853,200
"2000_AKPCQ25","iypd",10.371668,76.991853,200
"2000_AKPCQ26","iypd",10.371668,76.991853,200
"2000_AKPCQ27","iypd",10.371668,76.991853,200
"2000_AKPCQ28","iypd",10.371668,76.991853,200
"2000_AKPCQ29","iypd",10.371668,76.991853,200
"2000_AKPCQ3","akm",10.333438,77.020770,200
"2000_AKPCQ30","iypd",10.371668,76.991853,200
"2000_AKPCQ4","akm",10.333438,77.020770,200
"2000_AKPCQ5","akm",10.333438,77.020770,200
"2000_AKPCQ6","akm",10.333438,77.020770,200
"2000_AKPCQ7","akm",10.333438,77.020770,200
"2000_AKPCQ8","akm",10.333438,77.020770,200
"2000_AKPCQ9","akm",10.333438,77.020770,200
"2000_ANPCQ1","NA",10.397607,76.989666,200
"2000_ANPCQ10","NA",10.397607,76.989666,200
"2000_ANPCQ11","NA",10.397607,76.989666,200
"2000_ANPCQ12","NA",10.397607,76.989666,200
"2000_ANPCQ13","NA",10.397607,76.989666,200
"2000_ANPCQ14","NA",10.397607,76.989666,200
"2000_ANPCQ15","NA",10.397607,76.989666,200
"2000_ANPCQ16","NA",10.397607,76.989666,200
"2000_ANPCQ17","NA",10.397607,76.989666,200
"2000_ANPCQ18","NA",10.397607,76.989666,200
"2000_ANPCQ19","NA",10.397607,76.989666,200
"2000_ANPCQ2","NA",10.397607,76.989666,200
"2000_ANPCQ20","NA",10.397607,76.989666,200
"2000_ANPCQ21","NA",10.397607,76.989666,200
"2000_ANPCQ22","NA",10.397607,76.989666,200
"2000_ANPCQ23","NA",10.397607,76.989666,200
"2000_ANPCQ24","NA",10.397607,76.989666,200
"2000_ANPCQ25","NA",10.397607,76.989666,200
"2000_ANPCQ3","NA",10.397607,76.989666,200
"2000_ANPCQ4","NA",10.397607,76.989666,200
"2000_ANPCQ5","NA",10.397607,76.989666,200
"2000_ANPCQ6","NA",10.397607,76.989666,200
"2000_ANPCQ7","NA",10.397607,76.989666,200
"2000_ANPCQ8","NA",10.397607,76.989666,200
"2000_ANPCQ9","NA",10.397607,76.989666,200
"2000_KSPCQ1","NA",10.480950,76.831325,200
"2000_KSPCQ10","NA",10.480950,76.831325,200
"2000_KSPCQ11","NA",10.480950,76.831325,200
"2000_KSPCQ12","NA",10.480950,76.831325,200
"2000_KSPCQ13","NA",10.480950,76.831325,200
"2000_KSPCQ14","NA",10.480950,76.831325,200
"2000_KSPCQ15","NA",10.480950,76.831325,200
"2000_KSPCQ16","NA",10.480950,76.831325,200
"2000_KSPCQ17","NA",10.480950,76.831325,200
"2000_KSPCQ18","NA",10.480950,76.831325,200
"2000_KSPCQ19","NA",10.480950,76.831325,200
"2000_KSPCQ2","NA",10.480950,76.831325,200
"2000_KSPCQ20","NA",10.480950,76.831325,200
"2000_KSPCQ21","NA",10.480950,76.831325,200
"2000_KSPCQ22","NA",10.480950,76.831325,200
"2000_KSPCQ23","NA",10.480950,76.831325,200
"2000_KSPCQ24","NA",10.480950,76.831325,200
"2000_KSPCQ25","NA",10.480950,76.831325,200
"2000_KSPCQ3","NA",10.480950,76.831325,200
"2000_KSPCQ4","NA",10.480950,76.831325,200
"2000_KSPCQ5","NA",10.480950,76.831325,200
"2000_KSPCQ6","NA",10.480950,76.831325,200
"2000_KSPCQ7","NA",10.480950,76.831325,200
"2000_KSPCQ8","NA",10.480950,76.831325,200
"2000_KSPCQ9","NA",10.480950,76.831325,200
"2000_KOPCQ1","NA",10.312675,76.910160,200
"2000_KOPCQ10","NA",10.312675,76.910160,200
"2000_KOPCQ11","NA",10.312675,76.910160,200
"2000_KOPCQ12","NA",10.312675,76.910160,200
