"verbatimLocality","Fragment","decimalLongitude","decimalLatitude","habitat","Description"
"36th Hairpin Bend","Iyerpadi Akkamalai",76.995555,10.368692,"Mature tropical rainforest","Iyerpadi and 36th hair-pin bend area of mature rainforest in ATR"
"Akkamalai","Iyerpadi Akkamalai",77.02077,10.333438,"Mature tropical rainforest","Akkamalai area of the mature rainforest tract in ATR"
"Akkamalai_Iyerpadi","Iyerpadi Akkamalai",77.006412,10.352105,"Mature tropical rainforest","Mature rainforest in ATR with very low disturbance levels"
"Andiparai","Andiparai",76.989666,10.397607,"Tropical rainforest fragment","Rainforest fragment surrounded largely by tea estates, connected by narrow corridor to the control site"
"Injiparai","Injipara",76.928694,10.32346,"Tropical rainforest fragment","Rainforest fragment, an abandoned cardamom plantation, with many exotic shade trees in the canopy, surrounded by tea estates and a logged Eucalyptus fuel clearing area"
"Iyerpadi","Iyerpadi Akkamalai",76.991853,10.371668,"Mature tropical rainforest","Iyerpadi side of the mature rainforest tract in ATR"
"Iyerpadi-Top","Iyerpadi Top",76.995138,10.35668,"Tropical rainforest fragment","Rainforest fragment surrounded largely by tea estates, separated from Iyerpadi-Akkamalai rainforest of ATR by narrow strip of tea"
"Kalyanapandal","Kalyanapandal",76.870409,10.316111,"Tropical rainforest fragment","Also known as Pudukadu Kalyanapandal fragment; Rainforest fragment connected ATR along northern boundary of Valparai Plateau"
"Karian-Shola","Karian Shola",76.831325,10.48095,"Tropical rainforest fragment","Rainforest fragment near Top Slip in AT, continues into Paramabikulam Tiger Reserve, Kerala"
"Korangamudi","Korangumudi",76.91016,10.312675,"Tropical rainforest fragment","An abandoned cardamom plantation with highly disturbed rainforest canopy, more isolated since conversion of adjoining coffee to tea plantation in 2000"
"Manamboly","Manamboli",76.895241,10.348778,"Mature tropical rainforest","Mature rainforest fragment within ATR continuous with large area of forest"
"Murugaali-BlackBridge","Murugalli Black Bridge",76.873423,10.305703,"Tropical rainforest fragment","Rainforest fragment along river near entrance to Murugalli"
"Murugaali-Sholayar","Murugalli Sholayar",76.860541,10.294224,"Tropical rainforest fragment","Rainforest fragment in Murugalli along backwaters of lower Sholayar reservoir"
"OldValparai","Old Valparai",76.932254,10.347278,"Tropical rainforest fragment","Earlier known as Tata Finlay; Moderately disturbed fragment adjoining coffee estates with mixed native and exotic tree canopy"
"OldValparai_Coffee","Old Valparai - Varattuparai Coffee",76.932087,10.35552,"Coffee plantation","Also known as Old Valparai Coffee; Mostly exotic tree canopy of Erythrina indica and Maesopsis emenii, continuous with rainforest fragments and forests in ATR"
"Pannimade","Pannimade",76.892244,10.298994,"Tropical rainforest fragment","Isolated rainforest fragment adjoining Murugan fragment, mostly surrounded by tea and Upper Sholayar reservoir"
"Puduthottam","Puthuthottam",76.967501,10.338319,"Tropical rainforest fragment","Rainforest fragment, an abandoned cardamom plantation, with highly disturbed rainforest canopy"
"Puduthottam_Coffee","Puthuthottam Coffee",76.968619,10.342972,"Coffee plantation","Mixed canopy dominated by the exotics Maesopsis emenii, Erythrina indica and Eucalyptus sp., with few native trees such as Artocarpus heterophyllus; adjoins Puthuthottam fragment"
"SangliRoad","Sangli Road",76.892026,10.265151,"Tropical rainforest fragment","Rainforest fragment bordering Malakkipara estate in Kerala"
"Sankarankudi","Sankarankudi",76.940389,10.252168,"Cardamom plantation","Established by clearing ground vegetation under a completely native canopy of rainforest tree species, continuous with rainforest fragments and forests in ATR"
"Selaliparai1","Selaliparai 1",76.935142,10.338065,"Tropical rainforest fragment","Small rainforest fragment surrounded by tea, connected to strip of Eucalyptus"
"Surulimalai_Coffee","Surulimalai Coffee",76.901127,10.344473,"Coffee plantation","Dominantly exotic tree canopy of Erythrina indica, continuous with Manamboli and forests in ATR"
"TataFinley_Coffee","Tata Finlay - Old Valparai coffee",76.934518,10.350881,"Coffee plantation","Also known as Tata Finlay Coffee; Mixed tree canopy of exotics such as Erythrina indica and Maesopsis emenii with existing native species such as Cullenia exarillata, Mesua ferrea, and Palaquium ellipticum; adjoins Tata Finlay fragment"
"Varagaliar","Varagaliar",76.87416,10.424138,"Mature tropical rainforest","Large rainforest tract near Varagaliar elephant camp in ATR"
"Varatuparai123","Varattuparai 1-3",76.930115,10.354856,"Tropical rainforest fragment","Varattuparai 1, 2 and 3 are connected rainforest fragments (separated by road or small boundaries) with tea on one side and coffee on the other"
"Varatuparai4","Varattuparai 4",76.921194,10.346187,"Tropical rainforest fragment","Small rainforest fragment with tea on one side and coffee on the other, adjoining Upper Sholayar reservoir"
