"Year","verbatimLocality","Fragment","Point_name","pointID","Tree_no","verbatimIdentification","scientificName","nativeAlien","kingdom","phylum","Distance_eff","Girth_eff","locationRemarks","SpCode","TreeHeight","identificationRemarks","occurrenceRemarks"
2000,"Puduthottam","Puthuthottam","PUPCQ1","2000_PUPCQ1","T1","Vernonia arborea","Strobocalyx arborea","Native","Plantae","Tracheophyta",3.50,111.0,"PTTM","VEAR","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ1","2000_PUPCQ1","T2","Myristica dactyloides","Myristica beddomei","Native","Plantae","Tracheophyta",11.60,270.0,"PTTM","MYDA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ1","2000_PUPCQ1","T3","Erythrina indica","Erythrina subumbrans","Native","Plantae","Tracheophyta",5.30,214.0,"PTTM","ERIN","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ1","2000_PUPCQ1","T4","Vernonia arborea","Strobocalyx arborea","Native","Plantae","Tracheophyta",9.40,126.0,"PTTM","VEAR","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ2","2000_PUPCQ2","T1","Erythrina indica","Erythrina subumbrans","Native","Plantae","Tracheophyta",8.50,127.5,"PTTM","ERIN","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ2","2000_PUPCQ2","T2","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",18.20,235.5,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ2","2000_PUPCQ2","T3","Cullenia exarillata","Cullenia exarillata","Native","Plantae","Tracheophyta",17.50,37.8,"PTTM","CUEX","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ2","2000_PUPCQ2","T4","Elaeocarpus tuberculatus","Elaeocarpus tuberculatus","Native","Plantae","Tracheophyta",13.20,89.5,"PTTM","ELTU","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ3","2000_PUPCQ3","T1","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",1.75,45.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ3","2000_PUPCQ3","T2","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",9.30,68.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ3","2000_PUPCQ3","T3","Holigarna nigra","Holigarna nigra","Native","Plantae","Tracheophyta",4.70,233.5,"PTTM","HONI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ3","2000_PUPCQ3","T4","Myristica dactyloides","Myristica beddomei","Native","Plantae","Tracheophyta",6.90,171.0,"PTTM","MYDA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ4","2000_PUPCQ4","T1","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",5.25,36.0,"PTTM","CLVI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ4","2000_PUPCQ4","T2","Clerodendrum infortunatum","Clerodendrum infortunatum","Native","Plantae","Tracheophyta",7.25,37.5,"PTTM","CLVI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ4","2000_PUPCQ4","T3","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",5.40,489.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ4","2000_PUPCQ4","T4","Cullenia exarillata","Cullenia exarillata","Native","Plantae","Tracheophyta",4.90,390.0,"PTTM","CUEX","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ5","2000_PUPCQ5","T1","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",5.36,37.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ5","2000_PUPCQ5","T2","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",1.50,48.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ5","2000_PUPCQ5","T3","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",4.52,35.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ5","2000_PUPCQ5","T4","Cullenia exarillata","Cullenia exarillata","Native","Plantae","Tracheophyta",8.10,218.5,"PTTM","CUEX","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ6","2000_PUPCQ6","T1","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",2.80,85.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ6","2000_PUPCQ6","T2","Dysoxylum binectariferum","Dysoxylum gotadhora","Native","Plantae","Tracheophyta",3.80,73.0,"PTTM","DYBI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ6","2000_PUPCQ6","T3","Casearia rubescens","Casearia rubescens","Native","Plantae","Tracheophyta",4.90,195.0,"PTTM","CARU","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ6","2000_PUPCQ6","T4","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",11.10,250.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ7","2000_PUPCQ7","T1","Dimocarpus longan","Dimocarpus longan","Native","Plantae","Tracheophyta",6.75,231.0,"PTTM","DILO","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ7","2000_PUPCQ7","T2","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",14.55,177.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ7","2000_PUPCQ7","T3","Dimocarpus longan","Dimocarpus longan","Native","Plantae","Tracheophyta",12.80,160.0,"PTTM","DILO","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ7","2000_PUPCQ7","T4","Mesua ferrea","Mesua ferrea","Native","Plantae","Tracheophyta",12.25,474.0,"PTTM","MEFE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ8","2000_PUPCQ8","T1","Casearia rubescens","Casearia rubescens","Native","Plantae","Tracheophyta",12.47,349.0,"PTTM","CARU","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ8","2000_PUPCQ8","T2","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",3.20,79.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ8","2000_PUPCQ8","T3","Phyllanthus sp","Phyllanthus","Native","Plantae","Tracheophyta",5.43,41.0,"PTTM","PHSP","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ8","2000_PUPCQ8","T4","Casearia rubescens","Casearia rubescens","Native","Plantae","Tracheophyta",7.10,184.0,"PTTM","CARU","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ9","2000_PUPCQ9","T1","Macaranga peltata","Macaranga peltata","Native","Plantae","Tracheophyta",5.92,68.0,"PTTM","MAPE","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ9","2000_PUPCQ9","T2","Holigarna nigra","Holigarna nigra","Native","Plantae","Tracheophyta",2.20,154.0,"PTTM","HONI","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ9","2000_PUPCQ9","T3","Spathodea campanulata","Spathodea campanulata","Alien","Plantae","Tracheophyta",7.22,79.0,"PTTM","SPCA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ9","2000_PUPCQ9","T4","Maesa indica","Maesa indica","Native","Plantae","Tracheophyta",1.95,30.0,"PTTM","MAESA","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ10","2000_PUPCQ10","T1","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",2.90,45.0,"PTTM","MEEM","NA","NA","NA"
2000,"Puduthottam","Puthuthottam","PUPCQ10","2000_PUPCQ10","T2","Maesopsis eminii","Maesopsis eminii","Alien","Plantae","Tracheophyta",3.43,104.0,"PTTM","MEEM","NA","NA","NA"
