"verbatimIdentification","vernacularName","scientificName"
"Barking_Deer","Indian muntjac","Muntiacus muntjac"
"Bat","Bats","Chiroptera"
"Black_Naped_Hare","Indian hare","Lepus nigricollis"
"Bonnet_Macaque","Bonnet macaque","Macaca radiata"
"Brown_Mongoose","Brown mongoose","Herpestes fuscus"
"Brown_Palm_Civet","Brown palm civet","Paradoxurus jerdoni"
"Common_Langur","Common langur","Semnopithecus priam"
"Dhole","Dhole","Cuon alpinus"
"Dusky_striped_Squirrel","Dusky-striped squirrel","Funambulus sublineatus"
"Elephant","Elephant","Elephas maximus"
"Gaur","Gaur","Bos gaurus"
"Jungle_striped_Squirrel","Jungle-striped squirrel","Funambulus tristriatus"
"Large_Brown_Flying_Squirrel","Large brown flying squirrel","Petaurista philippensis"
"Leopard","Leopard","Panthera pardus"
"Lion_tailed_Macaque","Lion-tailed macaque","Macaca silenus"
"Malabar_Giant_Squirrel","Malabar giant squirrel","Ratufa indica"
"Monitor lizard","Bengal monitor","Varanus bengalensis"
"Mouse_Deer","Indian spotted chevrotain","Moschiola indica"
"Nilgiri_Langur","Nilgiri langur","Semnopithecus johnii"
"Nilgiri_Marten","Nilgiri marten","Martes gwatkinsii"
"Nilgiri_Tahr","Nilgiri tahr","Hemitragus hylocrius"
"Otter","Otter","Mustelidae"
"Porcupine","Porcupine","Hystrix indica"
"Ruddy_Mongoose","Ruddy mongoose","Herpestes smithii"
"Sambar","Sambar","Rusa unicolor"
"Sloth_Bear","Sloth bear","Melursus ursinus"
"Small_Indian_Civet","Small indian civet","Viverricula indica"
"Smooth_coated_Otter","Smooth coated otter","Lutrogale perspicillata"
"Stripe_necked_Mongoose","Stripe-necked mongoose","Herpestes vitticollis"
"Tiger","Tiger","Panthera tigris"
"Wild_pig","Wild pig","Sus scrofa"
