"place","lat","long","GPSaccuracy"
"13_to_16_bend",10.44896029,76.98325532,500
"5_to_8_bend",10.44776712,76.98340105,500
"9_to_12_bend",10.44631869,76.98554157,500
"Akkamalai",10.36985306,76.99361427,500
"Anaimudi",10.2587739,76.9350291,500
"Anali",10.37183483,76.92647984,500
"Andiparai",10.39513,76.991679,500
"Attakatti_to_Waterfalls",10.43372362,76.98684622,500
"Candura",10.3162905,76.835356,500
"Chinnakallar",10.2967175,77.0177702,500
"Iyerpadi",10.368476,76.980163,500
"Iyerpadi_bit_shola",10.36456999,76.97351874,500
"Iyerpadi_top",10.36537004,76.96795559,500
"Kalyanapandal_Pudukadu",10.322286,76.861716,500
"Karumalai",10.35412647,76.99903417,500
"Kavarkal",10.39041193,76.9856509,500
"Kavarkal_to_40th_bend",10.3738154,76.99441751,500
"Komalimedu",10.35037178,76.92260655,500
"Lower_Paralai",10.35167116,76.96108293,500
"Manambolly",10.3489136,76.89760049,500
"Monkey_falls",10.46117557,76.96680492,500
"Murugalli_CDR",10.3085285,76.871708,500
"Murugalli_CDR_Karumbalam",10.3060395,76.8736231,500
"Murugalli_estate",10.304518,76.8504581,500
"Nadumalai",10.32951185,76.96318544,500
"Old_Valparai",10.35279233,76.93633838,500
"Other",10.369574,76.994084,500
"Panathiar",10.39140933,76.87610971,500
"Pannimade_fragment",10.297782,76.8933024,500
"PAP_Colony",10.33555318,76.9634312,500
"Puthuthottam",10.33022099,76.96000359,500
"Rottikadai",10.357891,76.9714841,500
"Savamalai",10.34765875,76.89792629,500
"Selaliparai",10.33660561,76.93477901,500
"Senniappa_estate",10.312844,76.882464,500
"Sheikalmudi_LD",10.322957,76.845647,500
"Sholayar",10.3073482,76.94630756,500
"Thenmalaikurukku",10.35311975,76.96570773,500
"Upper_Paralai",10.34613216,76.97436757,500
"Urulikal",10.342443,76.901297,500
"Varattuparai",10.3530734,76.9492581,500
"Vazhachal",10.29061906,76.84051931,500
"Velonie",10.3667472,76.9452722,500
"Waterfalls",10.4313913,76.9840491,500
