ec5_uuid,created_at,uploaded_at,recordedBy,title,lat_gps,long_gps,accuracy_gps,UTM_Northing_gps,UTM_Easting_gps,UTM_Zone_gps,eventDate,verbatimEventDate,eventTime,vernacularName,individualCount,occurrenceRemarks,habitat,photo,eventRemarks
88d4d67d-fd7c-4cb7-8e91-800d13a76740,2024-10-04T04:49:29.000Z,2024-10-04T04:49:35.000Z,Ganesh Raghunathan,01/10/2024 Elephant Sighting,10.366827,76.988201,4,1146650,717690,43P,2024-10-01,01/10/2024,15:17,Elephant,2,Sighting,Other,88d4d67d-fd7c-4cb7-8e91-800d13a76740_1728017345.jpg,Bordering the PA
ba04ef43-76c5-4b53-bba9-329bd04d9d77,2024-09-12T12:27:55.000Z,2024-09-13T04:46:41.000Z,Srinivasan Kasinathan,12/09/2024 Nilgiri Tahr Sighting,10.449574,76.983368,8,1155801,717103,43P,2024-09-12,12/09/2024,17:57,Nilgiri Tahr,6,Sighting,Human settlement/habitation,NA,NA
8e5ebac5-3742-43b5-961d-750c0b341828,2024-09-12T05:46:59.000Z,2024-09-13T06:13:35.000Z,Divya Mudappa,12/09/2024 Nilgiri Langur Sighting,10.342737,76.933735,17,1143948,711740,43P,2024-09-12,12/09/2024,11:16,Nilgiri Langur,2,Sighting,Rainforest fragment,NA,NA
0409153f-9754-4e85-a670-a0b339ea8f15,2024-09-12T05:44:40.000Z,2024-09-13T06:13:33.000Z,Divya Mudappa,12/09/2024 Bonnet Macaque Sighting,10.342847,76.933871,15,1143961,711755,43P,2024-09-12,12/09/2024,11:14,Bonnet Macaque,10,Sighting,Rainforest fragment,NA,NA
2b431312-3293-4689-846e-83e3070ddefa,2024-09-12T03:05:14.000Z,2024-09-13T06:13:31.000Z,Divya Mudappa,12/09/2024 Gaur Sighting,10.330332,76.961195,3384,1142594,714757,43P,2024-09-12,12/09/2024,08:34,Gaur,9,Sighting,Tea Plantation,NA,Going into the selaliparai 1 fragment
9bbd73a3-061e-42e4-98f8-eee1f6f6531f,2024-09-10T13:03:30.000Z,2024-09-13T04:46:39.000Z,Srinivasan Kasinathan,10/09/2024 Nilgiri Tahr Sighting,10.448674,76.984308,4,1155702,717207,43P,2024-09-10,10/09/2024,18:28,Nilgiri Tahr,2,Sighting,Human settlement/habitation,NA,NA
c3a30312-e94c-47c4-9fe7-cc6121ed06d3,2024-09-09T12:10:11.000Z,2024-09-13T04:46:37.000Z,Srinivasan Kasinathan,09/09/2024 Sambar Sighting,NA,NA,NA,NA,NA,NA,2024-09-09,09/09/2024,17:35,Sambar,1,Sighting,Tea Plantation,NA,NA
be2e4ed5-3558-4e76-a402-10b9433a6914,2024-09-09T11:43:59.000Z,2024-09-13T04:46:35.000Z,Srinivasan Kasinathan,09/09/2024 Nilgiri Langur Sighting,10.349174,76.934735,8,1144661,711845,43P,2024-09-09,09/09/2024,17:12,Nilgiri Langur,5,Sighting,Coffee plantation,NA,NA
6f916cf9-77ed-4867-9f1c-a5795405a10e,2024-09-09T02:34:00.000Z,2024-09-13T04:46:32.000Z,Srinivasan Kasinathan,09/09/2024 Nilgiri Langur Sighting,10.301997,76.882783,4,1139408,706186,43P,2024-09-09,09/09/2024,08:03,Nilgiri Langur,1,Sighting,Human settlement/habitation,NA,NA
7f5b4382-c461-4b19-8b62-59493e676363,2024-09-07T12:50:44.000Z,2024-09-13T04:46:30.000Z,Srinivasan Kasinathan,07/09/2024 Gaur Sighting,10.346348,76.972841,4,1144374,716021,43P,2024-09-07,07/09/2024,18:20,Gaur,31,Sighting,Tea Plantation,NA,NA
9347643f-b8e4-4480-bd3e-1431a4b7701f,2024-09-07T06:00:13.000Z,2024-09-07T06:00:28.000Z,Ganesh Raghunathan,"06/09/2024 Lion-tailed Macaque Electrocution, Death",10.339448,76.965562,4,1143606,715229,43P,2024-09-06,06/09/2024,09:30,Lion-tailed Macaque,1,"Electrocution, Death",Human settlement/habitation,9347643f-b8e4-4480-bd3e-1431a4b7701f_1725688809.jpg,Adult female
