observation_id,latitude,longitude,date_,time,place,type_of_observation,notes,photo,gps_altitude,gps_horizontal_accuracy,verbatimIdentification,scientificName,vernacularName,recordedBy,georeferenceRemarks,occurrenceID
fe5dd26b-bed1-43e5-9522-6c3e7c154831,10.368476,76.980163,2016-05-03,17:45:00,Iyerpadi,Sighting,NA,NA,NA,NA,Dhole,Cuon alpinus,Dhole,Divya Mudappa,NA,urn:ncf:arp:fe5dd26b-bed1-43e5-9522-6c3e7c154831:sp1
044bb6ea-91c7-4495-a06f-65734fd574e9,10.3304232,76.96033023,2016-05-03,23:05:00,NA,Sighting,NA,NA,1129,10,Leopard,Panthera pardus,Leopard,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 12 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:044bb6ea-91c7-4495-a06f-65734fd574e9:sp1
41f7f6b5-fb22-45d5-a995-2167c9c17947,10.33043078,76.96037181,2016-05-01,09:00:00,NA,Sighting,NA,NA,1130,10,Brown Mongoose,Herpestes fuscus,Brown mongoose,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 8 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:41f7f6b5-fb22-45d5-a995-2167c9c17947:sp1
fe1071d6-d578-4c24-9567-d24d2299b9cb,10.33041891,76.96032453,2016-05-04,22:15:00,NA,Sighting,NA,NA,1129,5,Porcupine,Hystrix indica,Indian crested porcupine,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 12 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:fe1071d6-d578-4c24-9567-d24d2299b9cb:sp1
31f53e58-57ab-4f9f-852c-c1017accb09c,10.33041429,76.96032017,2016-04-30,19:30:00,NA,Sighting,NA,NA,1130,10,Leopard,Panthera pardus,Leopard,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 12 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:31f53e58-57ab-4f9f-852c-c1017accb09c:sp1
ce3b3ec4-fc22-402b-ad61-feb1bca494da,10.33025142,76.95998272,2016-05-05,12:09:00,Valparai--Cooperative Colony,Sign - Vocalisation/Call,NA,NA,1135,5,Jungle striped squirrel,Funambulus tristriatus,Jungle-striped squirrel,T R Shankar Raman,Data collected on mobile phones | GPS vertical accuracy = 6 | GPS speed = 0 | GPS course =-1,urn:ncf:arp:ce3b3ec4-fc22-402b-ad61-feb1bca494da:sp1
d663a859-a03d-42ca-acb4-51dafd87c77f,10.41306327,76.951432,2016-05-05,18:00:00,Talanar,Sighting,NA,NA,1106,65,Nilgiri marten,Martes gwatkinsii,Nilgiri marten,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 48 | GPS speed = -1 | GPS course =-1,urn:ncf:arp:d663a859-a03d-42ca-acb4-51dafd87c77f:sp1
dfb69c50-9cb2-4aba-b7fe-dbf310ca13b8,10.33025534,76.95996401,2016-05-06,06:50:00,Rottikadai-old Valparai road,Sighting,NA,NA,1113,65,Gaur,Bos gaurus,Gaur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 42 | GPS speed = -1 | GPS course =-1,urn:ncf:arp:dfb69c50-9cb2-4aba-b7fe-dbf310ca13b8:sp1
d5953333-9b7d-4282-aa13-80bf7026b9a2,10.35279233,76.93633838,2016-05-06,06:58:00,Old Valparai,Sighting,NA,NA,797,30,Gaur,Bos gaurus,Gaur,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 64 | GPS speed = 1.97 | GPS course =111,urn:ncf:arp:d5953333-9b7d-4282-aa13-80bf7026b9a2:sp1
c7ff2a2d-f7c8-4792-a965-746308bda724,10.35312727,76.93601006,2016-05-06,06:59:00,NA,Sighting,NA,NA,976,10,Bonnet Macaque,Macaca radiata,Bonnet macaque,Divya Mudappa,Data collected on mobile phones | GPS vertical accuracy = 12 | GPS speed = 8.59 | GPS course =252,urn:ncf:arp:c7ff2a2d-f7c8-4792-a965-746308bda724:sp1
