sno,season,transect,tcode,eventDate,fielddate,tlength,verbatimIdentification,vernacularName,scientificName,taxonRank,taxonRemarks,verbatimCoordinateSystem,verbatimSRS,georeferenceRemarks,verbatimLongitude,verbatimLatitude,decimalLongitude,decimalLatitude,habitat,individualCount,occurrenceStatus,occurrenceRemarks
1,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,butterfly,Butterfly,Lepidoptera,order,insecta,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718124,1143721,76.9919940397572,10.3403230854333,eucalyptus,1,present,NA
2,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718123,1143708,76.9919841703248,10.3402056363342,eucalyptus,1,present,NA
3,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718320,1143673,76.9937805008359,10.3398781540964,tea,1,present,NA
4,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718478,1143522,76.9952141924242,10.338504358014,tea,1,present,NA
5,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718606,1144521,76.9964397143877,10.3475269444196,tea,1,present,NA
6,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,frog,Frog,Anura,order,amphibia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718483,1143041,76.9952323888806,10.3341563784947,tea,1,present,NA
7,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,snake,Snake,Squamata,order,reptilia,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718342,1143279,76.9939588575482,10.3363155939422,tea,1,present,NA
8,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718419,1146711,76.9948578310354,10.3673326302655,forest_tea,1,present,NA
9,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718404,1146436,76.9947051574072,10.3648477943316,forest_tea,1,present,NA
10,monsoon,Balaji Temple,b1,2011-06-15,15/06/2011,6.7,earthworm,Earthworm,Annelida,phylum,annelida,UTM,EPSG:32643,Converted from UTM coordinates (grid 43 P of UTM Zone 43 N) to decimal degrees using QGIS,718709,1145867,76.997456994022,10.3596874049828,forest_tea,1,present,NA
