transect,verbatimroute,sno,canopycover,canopyoverlap,verticaloverlap,habcode,habno,longitude,latitude
Puthuthotam,puthuthottam,1,0,0,0,tf,2,76.963702,10.336091
Puthuthotam,puthuthottam,2,0,0,0,tf,2,76.963792,10.336293
Puthuthotam,puthuthottam,3,0,0,0,tf,2,76.963735,10.33651
Puthuthotam,puthuthottam,4,0,0,0,tf,2,76.963626,10.336676
Puthuthotam,puthuthottam,5,0,0,0,tf,2,76.963413,10.336748
Puthuthotam,puthuthottam,6,0,0,0,tf,2,76.963232,10.336872
Puthuthotam,puthuthottam,7,0,0,0,tf,2,76.963004,10.336861
Puthuthotam,puthuthottam,8,0,0,0,tf,2,76.962776,10.336868
Puthuthotam,puthuthottam,9,0,0,0,tf,2,76.962622,10.337007
Puthuthotam,puthuthottam,10,0,0,0,tf,2,76.962729,10.337196
Puthuthotam,puthuthottam,11,1,3,3,ff,3,76.962876,10.337331
Puthuthotam,puthuthottam,12,0,0,0,ff,3,76.962967,10.337534
Puthuthotam,puthuthottam,13,1,3,3,ff,3,76.963077,10.337729
Puthuthotam,puthuthottam,14,1,1,1,ff,3,76.963185,10.337922
Puthuthotam,puthuthottam,15,1,3,3,ff,3,76.963376,10.338042
Puthuthotam,puthuthottam,16,1,3,3,ff,3,76.963533,10.338202
Puthuthotam,puthuthottam,17,1,2,2,ff,3,76.963604,10.338415
Puthuthotam,puthuthottam,18,1,2,2,ff,3,76.963702,10.338614
Puthuthotam,puthuthottam,19,1,1,0,ff,3,76.963882,10.338569
Puthuthotam,puthuthottam,20,1,1,0,ff,3,76.964064,10.338436
Puthuthotam,puthuthottam,21,1,3,3,ff,3,76.964261,10.338363
Puthuthotam,puthuthottam,22,1,3,3,ff,3,76.964488,10.338358
Puthuthotam,puthuthottam,23,1,1,0,tf,2,76.964685,10.338465
Puthuthotam,puthuthottam,24,1,1,0,tf,2,76.964777,10.338664
Puthuthotam,puthuthottam,25,0,0,0,tf,2,76.964797,10.338889
Puthuthotam,puthuthottam,26,1,1,0,tf,2,76.964865,10.339068
Puthuthotam,puthuthottam,27,1,1,0,tf,2,76.964924,10.339236
Puthuthotam,puthuthottam,28,1,2,2,tf,2,76.965128,10.339158
Puthuthotam,puthuthottam,29,0,0,0,tf,2,76.965314,10.33903
Puthuthotam,puthuthottam,30,0,0,0,ff,3,76.965482,10.338881
Puthuthotam,puthuthottam,31,1,1,0,ff,3,76.965592,10.338685
Puthuthotam,puthuthottam,32,0,0,0,ff,3,76.965728,10.338507
Puthuthotam,puthuthottam,33,1,2,1,ff,3,76.965934,10.338476
Puthuthotam,puthuthottam,34,1,1,0,ff,3,76.966078,10.338649
Puthuthotam,puthuthottam,35,1,2,2,ff,3,76.966157,10.338859
Puthuthotam,puthuthottam,36,1,1,0,ff,3,76.966185,10.339081
Puthuthotam,puthuthottam,37,0,0,0,ff,3,76.966308,10.339268
Puthuthotam,puthuthottam,38,0,0,0,ff,3,76.966464,10.33943
Puthuthotam,puthuthottam,39,0,0,0,ff,3,76.966602,10.339607
Puthuthotam,puthuthottam,40,1,1,0,ff,3,76.966632,10.339828
Puthuthotam,puthuthottam,41,0,0,0,ff,3,76.966724,10.340035
Puthuthotam,puthuthottam,42,1,1,0,ff,3,76.966803,10.340244
Puthuthotam,puthuthottam,43,1,1,0,ff,3,76.966887,10.340395
Puthuthotam,puthuthottam,44,1,2,2,ff,3,76.966982,10.340569
Puthuthotam,puthuthottam,45,0,0,0,ff,3,76.967204,10.340614
Puthuthotam,puthuthottam,46,0,0,0,ff,3,76.967391,10.340571
Puthuthotam,puthuthottam,47,1,2,2,ff,3,76.967544,10.34048
Puthuthotam,puthuthottam,48,1,1,0,ff,3,76.96777,10.340499
Puthuthotam,puthuthottam,49,1,1,0,ff,3,76.967943,10.34064
Puthuthotam,puthuthottam,50,1,1,0,ff,3,76.968129,10.340766
Puthuthotam,puthuthottam,51,1,3,3,ff,3,76.968315,10.340891
Puthuthotam,puthuthottam,52,0,0,0,ff,3,76.968497,10.341027
Puthuthotam,puthuthottam,53,1,1,0,ff,3,76.968719,10.341065
Puthuthotam,puthuthottam,54,1,1,0,ff,3,76.968947,10.341069
Puthuthotam,puthuthottam,55,1,2,2,ff,3,76.969113,10.341206
Puthuthotam,puthuthottam,56,1,2,2,ff,3,76.969226,10.341401
Puthuthotam,puthuthottam,57,1,1,0,ff,3,76.969376,10.341563
Puthuthotam,puthuthottam,58,1,1,1,ff,3,76.969439,10.341774
Puthuthotam,puthuthottam,59,1,1,2,ff,3,76.969447,10.342
Puthuthotam,puthuthottam,60,1,1,1,ff,3,76.969445,10.342226
Puthuthotam,puthuthottam,61,1,2,2,ff,3,76.969448,10.342452
Puthuthotam,puthuthottam,62,1,1,1,ff,3,76.969364,10.34266
