"site","plot_no","reading","light","canopy_openness","P_ID"
"Injipara",1,1,945,4,"Injipara_1"
"Injipara",1,2,984,10,"Injipara_1"
"Injipara",1,3,991,4,"Injipara_1"
"Injipara",1,4,1021,4,"Injipara_1"
"Injipara",2,1,54700,6,"Injipara_2"
"Injipara",2,2,6300,18,"Injipara_2"
"Injipara",2,3,4010,12,"Injipara_2"
"Injipara",2,4,12500,6,"Injipara_2"
"Injipara",3,1,3030,4,"Injipara_3"
"Injipara",3,2,3750,5,"Injipara_3"
"Injipara",3,3,10590,18,"Injipara_3"
"Injipara",3,4,1795,4,"Injipara_3"
"Injipara",4,1,3480,4,"Injipara_4"
"Injipara",4,2,2800,3,"Injipara_4"
"Injipara",4,3,22600,35,"Injipara_4"
"Injipara",4,4,16700,10,"Injipara_4"
"Injipara",5,1,15410,8,"Injipara_5"
"Injipara",5,2,7070,4,"Injipara_5"
"Injipara",5,3,13490,8,"Injipara_5"
"Injipara",5,4,250,4,"Injipara_5"
"Injipara",6,1,6680,12,"Injipara_6"
"Injipara",6,2,7690,16,"Injipara_6"
"Injipara",6,3,11070,24,"Injipara_6"
"Injipara",6,4,79200,10,"Injipara_6"
"Injipara",7,1,71500,45,"Injipara_7"
"Injipara",7,2,10200,30,"Injipara_7"
"Injipara",7,3,66900,10,"Injipara_7"
"Injipara",7,4,7910,23,"Injipara_7"
"Injipara",8,1,26600,5,"Injipara_8"
"Injipara",8,2,12260,16,"Injipara_8"
"Injipara",8,3,11400,4,"Injipara_8"
"Injipara",8,4,8240,4,"Injipara_8"
"Injipara",9,1,3320,5,"Injipara_9"
"Injipara",9,2,250,2,"Injipara_9"
"Injipara",9,3,1920,4,"Injipara_9"
"Injipara",9,4,5150,10,"Injipara_9"
"Injipara",10,1,31400,6,"Injipara_10"
"Injipara",10,2,7320,5,"Injipara_10"
"Injipara",10,3,3150,6,"Injipara_10"
"Injipara",10,4,2940,16,"Injipara_10"
"Injipara",11,1,1730,3,"Injipara_11"
"Injipara",11,2,2100,4,"Injipara_11"
"Injipara",11,3,5480,10,"Injipara_11"
"Injipara",11,4,7790,7,"Injipara_11"
"Injipara",12,1,16980,12,"Injipara_12"
"Injipara",12,2,8600,6,"Injipara_12"
"Injipara",12,3,18470,6,"Injipara_12"
"Injipara",12,4,12380,6,"Injipara_12"
"Injipara",13,1,10900,10,"Injipara_13"
"Injipara",13,2,4200,2,"Injipara_13"
"Injipara",13,3,7460,5,"Injipara_13"
"Injipara",13,4,11960,6,"Injipara_13"
"Injipara",14,1,3970,5,"Injipara_14"
"Injipara",14,2,5490,4,"Injipara_14"
"Injipara",14,3,7190,4,"Injipara_14"
"Injipara",14,4,4790,5,"Injipara_14"
"Injipara",15,1,4910,7,"Injipara_15"
"Injipara",15,2,13460,5,"Injipara_15"
"Injipara",15,3,5700,4,"Injipara_15"
"Injipara",15,4,3130,2,"Injipara_15"
"Injipara",16,1,50600,24,"Injipara_16"
"Injipara",16,2,84600,42,"Injipara_16"
"Injipara",16,3,10300,30,"Injipara_16"
"Injipara",16,4,19100,12,"Injipara_16"
"Injipara",17,1,21600,16,"Injipara_17"
"Injipara",17,2,158,25,"Injipara_17"
"Injipara",17,3,7100,17,"Injipara_17"
"Injipara",17,4,5600,15,"Injipara_17"
"Injipara",18,1,4020,4,"Injipara_18"
"Injipara",18,2,1319,10,"Injipara_18"
"Injipara",18,3,2400,7,"Injipara_18"
"Injipara",18,4,3190,4,"Injipara_18"
"Injipara",19,1,5580,22,"Injipara_19"
"Injipara",19,2,9050,4,"Injipara_19"
"Injipara",19,3,9890,8,"Injipara_19"
"Injipara",19,4,14920,12,"Injipara_19"
"Injipara",20,1,11940,18,"Injipara_20"
"Injipara",20,2,10490,25,"Injipara_20"
"Injipara",20,3,9490,8,"Injipara_20"
"Injipara",20,4,9180,9,"Injipara_20"
"Manamboli_Upper",1,1,1520,4,"Manamboli_Upper_1"
"Manamboli_Upper",1,2,450,3,"Manamboli_Upper_1"
"Manamboli_Upper",1,3,170,1,"Manamboli_Upper_1"
"Manamboli_Upper",1,4,430,2,"Manamboli_Upper_1"
"Manamboli_Upper",2,1,1130,6,"Manamboli_Upper_2"
"Manamboli_Upper",2,2,430,2,"Manamboli_Upper_2"
"Manamboli_Upper",2,3,4260,3,"Manamboli_Upper_2"
"Manamboli_Upper",2,4,930,3,"Manamboli_Upper_2"
"Manamboli_Upper",3,1,490,5,"Manamboli_Upper_3"
"Manamboli_Upper",3,2,720,5,"Manamboli_Upper_3"
"Manamboli_Upper",3,3,710,3,"Manamboli_Upper_3"
"Manamboli_Upper",3,4,480,5,"Manamboli_Upper_3"
"Manamboli_Upper",4,1,1480,3,"Manamboli_Upper_4"
"Manamboli_Upper",4,2,560,4,"Manamboli_Upper_4"
"Manamboli_Upper",4,3,490,2,"Manamboli_Upper_4"
"Manamboli_Upper",4,4,450,5,"Manamboli_Upper_4"
