"group","old_code","osuri_code","current_code","original_name","original_fullname","original_family","GBIFname","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","scientificName"
"Understorey","Adi inc","NA","Adi inc","Adiantum incisum","Adiantum incisum Forsk.","Adiantaceae","Adiantum incisum Forssk.",8309462,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Adiantum incisum","Adiantum incisum","Forssk.","Adiantum incisum"
"Understorey","Age con","NA","Age con","Ageratum conyzoides","Ageratum conyzoides L.","Asteraceae","Ageratum conyzoides L.",5401673,"EXACT",97,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ageratum","Ageratum conyzoides","Ageratum conyzoides","L.","Ageratum conyzoides"
"Understorey","Amo can","NA","Amo can","Amomum cannicarpum","Amomum cannicarpum (Wight) Benth.","Zingiberaceae","Amomum cannicarpum (Wight) Benth. ex Baker",5301741,"EXACT",98,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","Amomum","Amomum cannicarpum","Amomum cannicarpum","(Wight) Benth. ex Baker","Amomum cannicarpum"
"Understorey","Amo hoh","NA","Amo hoh","Amorphophallus hohenackeri","Amorphophallus hohenackeri Engl.","Araceae","Amorphophallus hohenackeri (Schott) Engl. & Gehrm.",2871744,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Amorphophallus","Amorphophallus hohenackeri","Amorphophallus hohenackeri","(Schott) Engl. & Gehrm.","Amorphophallus hohenackeri"
"Understorey","Amo hyp","NA","Amo hyp","Amomum hypoleucum","Amomum hypoleucum Thw.","Zingiberaceae","Amomum hypoleucum Thwaites",5301733,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","Amomum","Amomum hypoleucum","Amomum hypoleucum","Thwaites","Amomum hypoleucum"
"Understorey","Amo mur","NA","Amo mur","Amomum muricatum","Amomum muricatum Bedd.","Zingiberaceae","Amomum muricatum Bedd.",5301606,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","Amomum","Amomum muricatum","Amomum muricatum","Bedd.","Amomum muricatum"
"Understorey","Amo pte","NA","Amo pte","Amomum pterocarpum","Amomum pterocarpum Thw.","Zingiberaceae","Amomum pterocarpum Thwaites",5301578,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","Amomum","Amomum pterocarpum","Amomum pterocarpum","Thwaites","Amomum pterocarpum"
"Understorey","Ana bed","NA","Ana bed","Anaphyllum beddomei","Anaphyllum beddomei Engler ","Araceae","Anaphyllum beddomei Engl.",2870631,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Anaphyllum","Anaphyllum beddomei","Anaphyllum beddomei","Engl.","Anaphyllum beddomei"
"Understorey","Ane mon","NA","Ane mon","Aneilema montana","Aneilema montana (Wight) Clarke","Commelinaceae","Aneilema montanum Wight",7366555,"FUZZY",95,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","Aneilema","Aneilema montanum","Aneilema montanum","Wight","Aneilema montanum"
"Understorey","Ani cum","NA","Ani cum","Anisocampium cumingianum","Anisocampium cumingianum Presl.","Athyriaceae","Anisocampium cumingianum C.Presl",4015764,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Athyriaceae","Anisocampium","Anisocampium cumingianum","Anisocampium cumingianum","C.Presl","Anisocampium cumingianum"
"Understorey","Ara ari","NA","Ara ari","Arachniodes aristata","Arachniodes aristata (Forsk.f.) Tindale","Aspidiaceae","Arachniodes aristata (G.Forst.) Tindale",4040718,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dryopteridaceae","Arachniodes","Arachniodes aristata","Arachniodes aristata","(G.Forst.) Tindale","Arachniodes aristata"
"Understorey","Arg hir","NA","Arg hir","Argyreia hirsuta","Argyreia hirsuta Wight & Arn.","Convolvulaceae","Argyreia hirsuta Wight & Arn.",3678879,"EDITED",114,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","Ipomoea","Ipomoea villifolia","Argyreia hirsuta",,"Ipomoea villifolia"
