record_id,eventDate,estate_code,estate_name,worker_count,women_workers,workers_per_ha,census_type
EST-01-2015,2015-06-15,EST-01,Karumalai Estate,661,445,1.604,annual_labour_census
EST-02-2015,2015-06-15,EST-02,Nedumparai Estate,1107,702,1.609,annual_labour_census
EST-03-2015,2015-06-15,EST-03,Ambalam Estate,822,539,1.572,annual_labour_census
EST-04-2015,2015-06-15,EST-04,Pannimedu Estate,357,213,1.545,annual_labour_census
EST-05-2015,2015-06-15,EST-05,Sirukundra Estate,540,360,1.556,annual_labour_census
EST-01-2016,2016-06-15,EST-01,Karumalai Estate,642,356,1.558,annual_labour_census
EST-02-2016,2016-06-15,EST-02,Nedumparai Estate,1089,658,1.583,annual_labour_census
EST-03-2016,2016-06-15,EST-03,Ambalam Estate,817,458,1.562,annual_labour_census
EST-04-2016,2016-06-15,EST-04,Pannimedu Estate,371,206,1.606,annual_labour_census
EST-05-2016,2016-06-15,EST-05,Sirukundra Estate,563,318,1.622,annual_labour_census
EST-01-2017,2017-06-15,EST-01,Karumalai Estate,631,398,1.532,annual_labour_census
EST-02-2017,2017-06-15,EST-02,Nedumparai Estate,1045,653,1.519,annual_labour_census
EST-03-2017,2017-06-15,EST-03,Ambalam Estate,812,451,1.553,annual_labour_census
EST-04-2017,2017-06-15,EST-04,Pannimedu Estate,351,195,1.519,annual_labour_census
EST-05-2017,2017-06-15,EST-05,Sirukundra Estate,525,308,1.513,annual_labour_census
EST-01-2018,2018-06-15,EST-01,Karumalai Estate,614,380,1.49,annual_labour_census
EST-02-2018,2018-06-15,EST-02,Nedumparai Estate,1058,624,1.538,annual_labour_census
EST-03-2018,2018-06-15,EST-03,Ambalam Estate,783,441,1.497,annual_labour_census
EST-04-2018,2018-06-15,EST-04,Pannimedu Estate,367,232,1.589,annual_labour_census
EST-05-2018,2018-06-15,EST-05,Sirukundra Estate,530,298,1.527,annual_labour_census
EST-01-2019,2019-06-15,EST-01,Karumalai Estate,597,372,1.449,annual_labour_census
EST-02-2019,2019-06-15,EST-02,Nedumparai Estate,1015,623,1.475,annual_labour_census
EST-03-2019,2019-06-15,EST-03,Ambalam Estate,791,479,1.512,annual_labour_census
EST-04-2019,2019-06-15,EST-04,Pannimedu Estate,344,210,1.489,annual_labour_census
EST-05-2019,2019-06-15,EST-05,Sirukundra Estate,526,314,1.516,annual_labour_census
EST-01-2020,2020-06-15,EST-01,Karumalai Estate,596,389,1.447,annual_labour_census
EST-02-2020,2020-06-15,EST-02,Nedumparai Estate,998,559,1.451,annual_labour_census
EST-03-2020,2020-06-15,EST-03,Ambalam Estate,761,470,1.455,annual_labour_census
EST-04-2020,2020-06-15,EST-04,Pannimedu Estate,338,217,1.463,annual_labour_census
EST-05-2020,2020-06-15,EST-05,Sirukundra Estate,505,317,1.455,annual_labour_census
EST-01-2021,2021-06-15,EST-01,Karumalai Estate,573,323,1.391,annual_labour_census
EST-02-2021,2021-06-15,EST-02,Nedumparai Estate,989,565,1.438,annual_labour_census
EST-03-2021,2021-06-15,EST-03,Ambalam Estate,748,426,1.43,annual_labour_census
EST-04-2021,2021-06-15,EST-04,Pannimedu Estate,342,206,1.481,annual_labour_census
EST-05-2021,2021-06-15,EST-05,Sirukundra Estate,481,312,1.386,annual_labour_census
EST-01-2022,2022-06-15,EST-01,Karumalai Estate,593,386,1.439,annual_labour_census
EST-02-2022,2022-06-15,EST-02,Nedumparai Estate,963,572,1.4,annual_labour_census
EST-03-2022,2022-06-15,EST-03,Ambalam Estate,734,460,1.403,annual_labour_census
EST-04-2022,2022-06-15,EST-04,Pannimedu Estate,333,186,1.442,annual_labour_census
EST-05-2022,2022-06-15,EST-05,Sirukundra Estate,472,317,1.36,annual_labour_census
EST-01-2023,2023-06-15,EST-01,Karumalai Estate,576,368,1.398,annual_labour_census
EST-02-2023,2023-06-15,EST-02,Nedumparai Estate,927,517,1.347,annual_labour_census
EST-03-2023,2023-06-15,EST-03,Ambalam Estate,716,454,1.369,annual_labour_census
EST-04-2023,2023-06-15,EST-04,Pannimedu Estate,325,190,1.407,annual_labour_census
EST-05-2023,2023-06-15,EST-05,Sirukundra Estate,481,320,1.386,annual_labour_census
EST-01-2024,2024-06-15,EST-01,Karumalai Estate,556,307,1.35,annual_labour_census
EST-02-2024,2024-06-15,EST-02,Nedumparai Estate,932,555,1.355,annual_labour_census
EST-03-2024,2024-06-15,EST-03,Ambalam Estate,689,423,1.317,annual_labour_census
EST-04-2024,2024-06-15,EST-04,Pannimedu Estate,304,197,1.316,annual_labour_census
EST-05-2024,2024-06-15,EST-05,Sirukundra Estate,455,293,1.311,annual_labour_census
