visit_id,eventDate,village_code,village,season,households_visited,enumerator_hours,village_population
VIL-01-monsoon-2021,2021-07-12,VIL-01,Thonimalai Village,monsoon,106,11.2,1240
VIL-02-monsoon-2021,2021-07-12,VIL-02,Perumpallam Village,monsoon,41,9.3,860
VIL-03-monsoon-2021,2021-07-12,VIL-03,Kadamparai Village,monsoon,119,11.2,1495
VIL-01-post_monsoon-2021,2021-11-12,VIL-01,Thonimalai Village,post_monsoon,32,19.5,1240
VIL-02-post_monsoon-2021,2021-11-12,VIL-02,Perumpallam Village,post_monsoon,121,15.4,860
VIL-03-post_monsoon-2021,2021-11-12,VIL-03,Kadamparai Village,post_monsoon,128,17.0,1495
VIL-01-dry-2021,2021-03-12,VIL-01,Thonimalai Village,dry,80,20.9,1240
VIL-02-dry-2021,2021-03-12,VIL-02,Perumpallam Village,dry,139,20.2,860
VIL-03-dry-2021,2021-03-12,VIL-03,Kadamparai Village,dry,136,5.6,1495
VIL-01-pruning-2021,2021-01-12,VIL-01,Thonimalai Village,pruning,51,11.0,1240
VIL-02-pruning-2021,2021-01-12,VIL-02,Perumpallam Village,pruning,121,12.0,860
VIL-03-pruning-2021,2021-01-12,VIL-03,Kadamparai Village,pruning,69,5.9,1495
VIL-01-monsoon-2022,2022-07-12,VIL-01,Thonimalai Village,monsoon,41,13.7,1240
VIL-02-monsoon-2022,2022-07-12,VIL-02,Perumpallam Village,monsoon,129,5.1,860
VIL-03-monsoon-2022,2022-07-12,VIL-03,Kadamparai Village,monsoon,122,17.1,1495
VIL-01-post_monsoon-2022,2022-11-12,VIL-01,Thonimalai Village,post_monsoon,71,6.2,1240
VIL-02-post_monsoon-2022,2022-11-12,VIL-02,Perumpallam Village,post_monsoon,100,6.5,860
VIL-03-post_monsoon-2022,2022-11-12,VIL-03,Kadamparai Village,post_monsoon,71,20.6,1495
VIL-01-dry-2022,2022-03-12,VIL-01,Thonimalai Village,dry,55,10.6,1240
VIL-02-dry-2022,2022-03-12,VIL-02,Perumpallam Village,dry,78,9.1,860
VIL-03-dry-2022,2022-03-12,VIL-03,Kadamparai Village,dry,39,21.5,1495
VIL-01-pruning-2022,2022-01-12,VIL-01,Thonimalai Village,pruning,151,9.3,1240
VIL-02-pruning-2022,2022-01-12,VIL-02,Perumpallam Village,pruning,127,5.1,860
VIL-03-pruning-2022,2022-01-12,VIL-03,Kadamparai Village,pruning,69,15.3,1495
VIL-01-monsoon-2023,2023-07-12,VIL-01,Thonimalai Village,monsoon,84,15.0,1240
VIL-02-monsoon-2023,2023-07-12,VIL-02,Perumpallam Village,monsoon,78,18.8,860
VIL-03-monsoon-2023,2023-07-12,VIL-03,Kadamparai Village,monsoon,74,14.0,1495
VIL-01-post_monsoon-2023,2023-11-12,VIL-01,Thonimalai Village,post_monsoon,38,10.9,1240
VIL-02-post_monsoon-2023,2023-11-12,VIL-02,Perumpallam Village,post_monsoon,160,6.4,860
VIL-03-post_monsoon-2023,2023-11-12,VIL-03,Kadamparai Village,post_monsoon,119,5.8,1495
VIL-01-dry-2023,2023-03-12,VIL-01,Thonimalai Village,dry,91,21.5,1240
VIL-02-dry-2023,2023-03-12,VIL-02,Perumpallam Village,dry,77,4.3,860
VIL-03-dry-2023,2023-03-12,VIL-03,Kadamparai Village,dry,37,15.9,1495
VIL-01-pruning-2023,2023-01-12,VIL-01,Thonimalai Village,pruning,110,5.7,1240
VIL-02-pruning-2023,2023-01-12,VIL-02,Perumpallam Village,pruning,144,13.7,860
VIL-03-pruning-2023,2023-01-12,VIL-03,Kadamparai Village,pruning,106,15.5,1495
VIL-01-monsoon-2024,2024-07-12,VIL-01,Thonimalai Village,monsoon,106,14.3,1240
VIL-02-monsoon-2024,2024-07-12,VIL-02,Perumpallam Village,monsoon,136,10.7,860
VIL-03-monsoon-2024,2024-07-12,VIL-03,Kadamparai Village,monsoon,122,11.8,1495
VIL-01-post_monsoon-2024,2024-11-12,VIL-01,Thonimalai Village,post_monsoon,140,6.8,1240
VIL-02-post_monsoon-2024,2024-11-12,VIL-02,Perumpallam Village,post_monsoon,28,14.9,860
VIL-03-post_monsoon-2024,2024-11-12,VIL-03,Kadamparai Village,post_monsoon,153,12.1,1495
VIL-01-dry-2024,2024-03-12,VIL-01,Thonimalai Village,dry,142,17.6,1240
VIL-02-dry-2024,2024-03-12,VIL-02,Perumpallam Village,dry,145,19.0,860
VIL-03-dry-2024,2024-03-12,VIL-03,Kadamparai Village,dry,149,10.9,1495
VIL-01-pruning-2024,2024-01-12,VIL-01,Thonimalai Village,pruning,45,5.9,1240
VIL-02-pruning-2024,2024-01-12,VIL-02,Perumpallam Village,pruning,138,10.3,860
VIL-03-pruning-2024,2024-01-12,VIL-03,Kadamparai Village,pruning,141,12.8,1495
