work_id,eventDate,work_code,work_label,village,latitude,longitude,persondays,households_engaged,event_type,gps_accuracy_m
VIL-01-water_body_desilting-2019,2019-06-10,water_body_desilting,Water body desilting,Thonimalai Village,10.30536,76.94741,734,29,mgnrega_work,60
VIL-01-footpath_repair-2019,2019-01-10,footpath_repair,Footpath repair,Thonimalai Village,10.30423,76.94032,211,68,mgnrega_work,60
VIL-01-nursery_raising-2019,2019-08-10,nursery_raising,Nursery raising,Thonimalai Village,10.29643,76.93865,1233,130,mgnrega_work,60
VIL-01-check_dam-2019,2019-09-10,check_dam,Check dam construction,Thonimalai Village,10.30585,76.93779,1193,149,mgnrega_work,60
VIL-02-water_body_desilting-2019,2019-12-10,water_body_desilting,Water body desilting,Perumpallam Village,10.33044,76.97117,810,70,mgnrega_work,60
VIL-02-footpath_repair-2019,2019-07-10,footpath_repair,Footpath repair,Perumpallam Village,10.34283,76.98321,466,53,mgnrega_work,60
VIL-02-nursery_raising-2019,2019-02-10,nursery_raising,Nursery raising,Perumpallam Village,10.33701,76.98158,209,130,mgnrega_work,60
VIL-02-check_dam-2019,2019-01-10,check_dam,Check dam construction,Perumpallam Village,10.32835,76.98096,514,149,mgnrega_work,60
VIL-03-water_body_desilting-2019,2019-10-10,water_body_desilting,Water body desilting,Kadamparai Village,10.25688,76.96269,757,137,mgnrega_work,60
VIL-03-footpath_repair-2019,2019-03-10,footpath_repair,Footpath repair,Kadamparai Village,10.2573,76.95806,559,113,mgnrega_work,60
VIL-03-nursery_raising-2019,2019-09-10,nursery_raising,Nursery raising,Kadamparai Village,10.25818,76.95855,853,99,mgnrega_work,60
VIL-03-check_dam-2019,2019-06-10,check_dam,Check dam construction,Kadamparai Village,10.25593,76.96337,626,41,mgnrega_work,60
VIL-01-water_body_desilting-2020,2020-05-10,water_body_desilting,Water body desilting,Thonimalai Village,10.30054,76.93472,1152,149,mgnrega_work,60
VIL-01-footpath_repair-2020,2020-02-10,footpath_repair,Footpath repair,Thonimalai Village,10.29673,76.93294,190,122,mgnrega_work,60
