record_id,eventDate,occupation_code,occupation_label,origin_village,latitude,longitude,persons_moved,destination,event_type,gps_accuracy_m
VIL-01-tea_plucker-2018,2018-05-05,tea_plucker,Tea plucker,Thonimalai Village,10.30417,76.94066,18,Kerala,out_migration,100
VIL-01-hotel_staff-2018,2018-09-05,hotel_staff,Hotel and homestay staff,Thonimalai Village,10.29838,76.93748,29,Tiruppur,out_migration,100
VIL-02-construction_labour-2018,2018-04-05,construction_labour,Construction labour,Perumpallam Village,10.33499,76.9769,29,Coimbatore,out_migration,100
VIL-02-transport_driver-2018,2018-05-05,transport_driver,Transport driver,Perumpallam Village,10.33282,76.97489,26,Pollachi,out_migration,100
VIL-03-transport_driver-2018,2018-12-05,transport_driver,Transport driver,Kadamparai Village,10.2597,76.96536,28,Pollachi,out_migration,100
VIL-03-construction_labour-2018,2018-01-05,construction_labour,Construction labour,Kadamparai Village,10.26338,76.96791,35,Coimbatore,out_migration,100
VIL-01-hotel_staff-2019,2019-04-05,hotel_staff,Hotel and homestay staff,Thonimalai Village,10.29899,76.94206,17,Kerala,out_migration,100
VIL-01-transport_driver-2019,2019-04-05,transport_driver,Transport driver,Thonimalai Village,10.29862,76.94261,9,Kerala,out_migration,100
VIL-02-hotel_staff-2019,2019-08-05,hotel_staff,Hotel and homestay staff,Perumpallam Village,10.33434,76.97682,41,Pollachi,out_migration,100
VIL-02-construction_labour-2019,2019-07-05,construction_labour,Construction labour,Perumpallam Village,10.33143,76.97169,41,Pollachi,out_migration,100
VIL-03-transport_driver-2019,2019-12-05,transport_driver,Transport driver,Kadamparai Village,10.25748,76.96515,23,Coimbatore,out_migration,100
VIL-03-construction_labour-2019,2019-02-05,construction_labour,Construction labour,Kadamparai Village,10.26445,76.96463,14,Kerala,out_migration,100
VIL-01-construction_labour-2020,2020-11-05,construction_labour,Construction labour,Thonimalai Village,10.3023,76.94221,24,Kerala,out_migration,100
VIL-01-hotel_staff-2020,2020-03-05,hotel_staff,Hotel and homestay staff,Thonimalai Village,10.29737,76.93613,8,Tiruppur,out_migration,100
VIL-02-transport_driver-2020,2020-09-05,transport_driver,Transport driver,Perumpallam Village,10.33871,76.97316,25,Tiruppur,out_migration,100
VIL-02-construction_labour-2020,2020-07-05,construction_labour,Construction labour,Perumpallam Village,10.3317,76.97714,15,Tiruppur,out_migration,100
VIL-03-transport_driver-2020,2020-06-05,transport_driver,Transport driver,Kadamparai Village,10.25991,76.96918,4,Kerala,out_migration,100
VIL-03-construction_labour-2020,2020-04-05,construction_labour,Construction labour,Kadamparai Village,10.26349,76.96813,5,Kerala,out_migration,100
VIL-01-construction_labour-2021,2021-02-05,construction_labour,Construction labour,Thonimalai Village,10.30293,76.936,15,Coimbatore,out_migration,100
VIL-01-hotel_staff-2021,2021-10-05,hotel_staff,Hotel and homestay staff,Thonimalai Village,10.29921,76.93768,5,Tiruppur,out_migration,100
VIL-02-tea_plucker-2021,2021-05-05,tea_plucker,Tea plucker,Perumpallam Village,10.33103,76.97755,7,Coimbatore,out_migration,100
VIL-02-hotel_staff-2021,2021-04-05,hotel_staff,Hotel and homestay staff,Perumpallam Village,10.33186,76.97722,32,Kerala,out_migration,100
VIL-03-tea_plucker-2021,2021-08-05,tea_plucker,Tea plucker,Kadamparai Village,10.25806,76.96597,3,Tiruppur,out_migration,100
VIL-03-hotel_staff-2021,2021-12-05,hotel_staff,Hotel and homestay staff,Kadamparai Village,10.26318,76.96686,23,Tiruppur,out_migration,100
VIL-01-transport_driver-2022,2022-10-05,transport_driver,Transport driver,Thonimalai Village,10.29713,76.93708,13,Pollachi,out_migration,100
VIL-01-hotel_staff-2022,2022-07-05,hotel_staff,Hotel and homestay staff,Thonimalai Village,10.29702,76.93577,38,Tiruppur,out_migration,100
VIL-02-hotel_staff-2022,2022-02-05,hotel_staff,Hotel and homestay staff,Perumpallam Village,10.3389,76.97362,8,Pollachi,out_migration,100
VIL-02-transport_driver-2022,2022-02-05,transport_driver,Transport driver,Perumpallam Village,10.33437,76.97941,31,Pollachi,out_migration,100
VIL-03-hotel_staff-2022,2022-07-05,hotel_staff,Hotel and homestay staff,Kadamparai Village,10.26069,76.96913,18,Coimbatore,out_migration,100
VIL-03-construction_labour-2022,2022-05-05,construction_labour,Construction labour,Kadamparai Village,10.25935,76.96654,26,Tiruppur,out_migration,100
VIL-01-tea_plucker-2023,2023-08-05,tea_plucker,Tea plucker,Thonimalai Village,10.29848,76.93746,12,Tiruppur,out_migration,100
VIL-01-construction_labour-2023,2023-10-05,construction_labour,Construction labour,Thonimalai Village,10.29801,76.93602,19,Pollachi,out_migration,100
VIL-02-hotel_staff-2023,2023-02-05,hotel_staff,Hotel and homestay staff,Perumpallam Village,10.33623,76.97943,9,Coimbatore,out_migration,100
VIL-02-tea_plucker-2023,2023-08-05,tea_plucker,Tea plucker,Perumpallam Village,10.33806,76.97335,31,Tiruppur,out_migration,100
VIL-03-construction_labour-2023,2023-04-05,construction_labour,Construction labour,Kadamparai Village,10.25795,76.96352,40,Pollachi,out_migration,100
VIL-03-hotel_staff-2023,2023-02-05,hotel_staff,Hotel and homestay staff,Kadamparai Village,10.25998,76.96893,31,Tiruppur,out_migration,100
VIL-01-construction_labour-2024,2024-11-05,construction_labour,Construction labour,Thonimalai Village,10.30127,76.94046,16,Coimbatore,out_migration,100
VIL-01-transport_driver-2024,2024-06-05,transport_driver,Transport driver,Thonimalai Village,10.29922,76.93585,19,Coimbatore,out_migration,100
VIL-02-hotel_staff-2024,2024-06-05,hotel_staff,Hotel and homestay staff,Perumpallam Village,10.33427,76.97447,22,Coimbatore,out_migration,100
VIL-02-construction_labour-2024,2024-04-05,construction_labour,Construction labour,Perumpallam Village,10.33125,76.97547,33,Coimbatore,out_migration,100
VIL-03-transport_driver-2024,2024-07-05,transport_driver,Transport driver,Kadamparai Village,10.26231,76.96324,37,Coimbatore,out_migration,100
VIL-03-construction_labour-2024,2024-11-05,construction_labour,Construction labour,Kadamparai Village,10.25831,76.96756,29,Tiruppur,out_migration,100
