year,month,daily_wage,overtime_rate,paid_days_per_month
2017,1,290.67,39.77,21.49
2017,2,288.8,37.8,20.97
2017,3,289.34,38.02,21.62
2017,4,297.08,40.34,21.94
2017,5,294.07,37.42,20.5
2017,6,292.22,39.23,20.33
2017,7,301.27,37.42,20.98
2017,8,293.95,38.93,21.76
2017,9,296.92,37.39,22.36
2017,10,305.4,39.61,22.08
2017,11,300.38,40.57,22.58
2017,12,303.97,39.43,21.26
2018,1,311.63,40.34,20.86
2018,2,310.09,42.45,20.96
2018,3,310.02,41.01,20.15
2018,4,316.4,40.85,22.18
2018,5,317.86,39.09,20.4
2018,6,315.91,41.44,22.19
2018,7,319.53,40.9,20.18
2018,8,319.06,43.01,21.05
2018,9,317.84,39.78,21.7
2018,10,323.88,41.21,21.56
2018,11,322.1,40.22,22.18
2018,12,321.14,42.26,22.09
2019,1,337.0,41.91,21.04
2019,2,329.89,44.2,20.74
2019,3,340.6,42.34,20.03
2019,4,337.1,43.03,21.03
2019,5,338.86,44.27,21.32
2019,6,334.74,42.17,20.46
2019,7,342.94,42.11,20.68
2019,8,342.97,45.37,21.4
2019,9,340.77,42.29,20.95
2019,10,340.13,44.84,21.24
2019,11,341.09,45.61,19.69
2019,12,339.03,43.69,20.31
2020,1,354.69,46.97,20.56
2020,2,349.82,46.76,19.93
2020,3,358.42,46.57,19.39
2020,4,356.26,46.17,19.58
2020,5,363.17,45.16,20.63
2020,6,354.44,47.31,20.83
2020,7,359.86,46.6,19.3
2020,8,357.11,47.69,19.17
2020,9,363.19,45.68,20.67
2020,10,364.34,46.3,20.24
2020,11,369.15,44.64,20.42
2020,12,359.06,47.32,20.84
2021,1,371.13,48.34,19.03
2021,2,382.64,46.22,20.8
2021,3,372.04,46.39,19.9
2021,4,381.76,46.94,20.01
2021,5,383.51,45.98,20.48
2021,6,385.17,48.48,20.66
2021,7,381.5,49.24,20.81
2021,8,377.77,46.64,19.93
2021,9,387.57,49.24,20.16
2021,10,387.31,46.83,19.04
2021,11,386.33,46.81,18.85
2021,12,387.99,48.55,19.86
2022,1,400.22,51.18,18.44
2022,2,394.1,47.92,18.53
2022,3,398.13,47.96,20.45
2022,4,394.36,49.25,20.64
2022,5,401.77,48.84,18.97
2022,6,401.5,51.37,19.52
2022,7,399.27,50.34,20.4
2022,8,408.33,52.03,20.44
2022,9,400.53,50.23,19.3
2022,10,403.71,49.8,19.91
2022,11,405.04,49.49,19.03
2022,12,402.27,51.85,20.55
2023,1,419.62,51.42,18.51
2023,2,414.45,51.93,19.69
2023,3,414.83,53.7,18.29
2023,4,422.61,51.15,19.6
2023,5,427.43,51.97,18.91
2023,6,420.68,50.82,18.78
2023,7,421.36,52.39,19.59
2023,8,422.81,52.72,18.61
2023,9,430.63,51.2,20.1
2023,10,422.74,54.36,18.1
2023,11,424.16,54.57,18.34
2023,12,430.87,54.33,19.94
2024,1,441.01,56.05,18.47
2024,2,440.24,54.43,18.69
2024,3,438.62,53.58,19.42
2024,4,437.8,56.15,18.15
2024,5,436.7,53.02,18.13
2024,6,444.7,53.65,18.13
2024,7,439.76,52.91,19.89
2024,8,444.21,56.62,18.99
2024,9,440.62,55.9,19.75
2024,10,452.63,54.21,17.93
2024,11,453.09,55.77,18.77
2024,12,445.27,55.14,19.11
