id,lat,lon,habitat
36th Hairpin Bend,10.368692,76.995555,Mature tropical rainforest
Akkamalai,10.333438,77.02077,Mature tropical rainforest
Akkamalai_Iyerpadi,10.352105,77.006412,Mature tropical rainforest
Andiparai,10.397607,76.989666,Tropical rainforest fragment
Injiparai,10.32346,76.928694,Tropical rainforest fragment
Iyerpadi,10.371668,76.991853,Mature tropical rainforest
Iyerpadi-Top,10.35668,76.995138,Tropical rainforest fragment
Kalyanapandal,10.316111,76.870409,Tropical rainforest fragment
Karian-Shola,10.48095,76.831325,Tropical rainforest fragment
Korangamudi,10.312675,76.91016,Tropical rainforest fragment
Manamboly,10.348778,76.895241,Mature tropical rainforest
Murugaali-BlackBridge,10.305703,76.873423,Tropical rainforest fragment
Murugaali-Sholayar,10.294224,76.860541,Tropical rainforest fragment
OldValparai,10.347278,76.932254,Tropical rainforest fragment
OldValparai_Coffee,10.35552,76.932087,Coffee plantation
Pannimade,10.298994,76.892244,Tropical rainforest fragment
Puduthottam,10.338319,76.967501,Tropical rainforest fragment
Puduthottam_Coffee,10.342972,76.968619,Coffee plantation
SangliRoad,10.265151,76.892026,Tropical rainforest fragment
Sankarankudi,10.252168,76.940389,Cardamom plantation
Selaliparai1,10.338065,76.935142,Tropical rainforest fragment
Surulimalai_Coffee,10.344473,76.901127,Coffee plantation
TataFinley_Coffee,10.350881,76.934518,Coffee plantation
Varagaliar,10.424138,76.87416,Mature tropical rainforest
Varatuparai123,10.354856,76.930115,Tropical rainforest fragment
Varatuparai4,10.346187,76.921194,Tropical rainforest fragment
