id,lat,lon,species,year,dataset
6399131499,12.839024,77.779084,Amphiesma stolatum,2026,iNaturalist research-grade observations
6399660036,11.167963,77.004167,Amphiesma stolatum,2026,iNaturalist research-grade observations
6400916688,11.167957,77.00416,Amphiesma stolatum,2026,iNaturalist research-grade observations
6431165665,12.844012,77.77652,Amphiesma stolatum,2026,iNaturalist research-grade observations
5167899162,12.892649,77.453608,Amphiesma stolatum,2025,iNaturalist research-grade observations
5293034093,13.208842,77.513397,Amphiesma stolatum,2025,iNaturalist research-grade observations
5935654856,12.961853,77.303695,Amphiesma stolatum,2025,iNaturalist research-grade observations
5837831388,11.002739,79.437683,Amphiesma stolatum,2025,iNaturalist research-grade observations
5844314554,12.784296,77.537646,Amphiesma stolatum,2025,iNaturalist research-grade observations
5890315126,11.709464,78.189136,Amphiesma stolatum,2025,iNaturalist research-grade observations
5230197376,11.343896,76.794521,Amphiesma stolatum,2024,iNaturalist research-grade observations
4936759928,12.84568,77.775305,Amphiesma stolatum,2024,iNaturalist research-grade observations
4945829099,12.884795,77.463872,Amphiesma stolatum,2024,iNaturalist research-grade observations
6334607685,12.962661,77.57754,Amphiesma stolatum,2023,iNaturalist research-grade observations
4111952665,12.904477,77.494574,Amphiesma stolatum,2023,iNaturalist research-grade observations
4171501673,11.905783,78.616769,Amphiesma stolatum,2023,iNaturalist research-grade observations
4414027358,12.886388,77.465674,Amphiesma stolatum,2023,iNaturalist research-grade observations
4458402944,12.69322,77.296825,Amphiesma stolatum,2023,iNaturalist research-grade observations
4458635886,12.692479,77.296523,Amphiesma stolatum,2023,iNaturalist research-grade observations
3963626706,12.885592,77.46685,Amphiesma stolatum,2022,iNaturalist research-grade observations
3986258604,12.189455,76.642543,Amphiesma stolatum,2022,iNaturalist research-grade observations
4852764863,12.173933,76.201172,Amphiesma stolatum,2022,iNaturalist research-grade observations
3858968221,13.185384,79.065705,Amphiesma stolatum,2022,iNaturalist research-grade observations
3873961940,13.19156,77.504089,Amphiesma stolatum,2022,iNaturalist research-grade observations
3874156764,13.20909,77.554093,Amphiesma stolatum,2022,iNaturalist research-grade observations
3966831388,12.884994,77.464613,Amphiesma stolatum,2022,iNaturalist research-grade observations
3963506321,13.21018,77.54721,Amphiesma stolatum,2022,iNaturalist research-grade observations
3985696100,12.965968,77.303327,Amphiesma stolatum,2022,iNaturalist research-grade observations
4080573706,12.920607,77.441581,Amphiesma stolatum,2022,iNaturalist research-grade observations
4011800777,12.879505,79.406127,Amphiesma stolatum,2022,iNaturalist research-grade observations
3337788030,13.001716,79.017729,Amphiesma stolatum,2021,iNaturalist research-grade observations
3118392874,12.883117,77.464146,Amphiesma stolatum,2021,iNaturalist research-grade observations
3320927818,12.884881,77.464825,Amphiesma stolatum,2021,iNaturalist research-grade observations
3416124480,12.687787,77.810909,Amphiesma stolatum,2021,iNaturalist research-grade observations
3384005633,12.885531,77.467562,Amphiesma stolatum,2021,iNaturalist research-grade observations
3892378107,11.957793,76.249876,Amphiesma stolatum,2021,iNaturalist research-grade observations
3455874164,12.885828,77.465801,Amphiesma stolatum,2021,iNaturalist research-grade observations
3320875918,12.369876,76.300322,Amphiesma stolatum,2020,iNaturalist research-grade observations
2850940184,13.003323,76.100389,Amphiesma stolatum,2018,iNaturalist research-grade observations
5759754832,12.584171,78.662541,Amphiesma stolatum,2018,iNaturalist research-grade observations
5759842417,12.586528,78.665966,Amphiesma stolatum,2018,iNaturalist research-grade observations
3307473969,12.675912,77.770376,Amphiesma stolatum,2016,iNaturalist research-grade observations
3330490863,12.884909,77.465746,Amphiesma stolatum,2016,iNaturalist research-grade observations
3330430838,12.884874,77.464961,Amphiesma stolatum,2015,iNaturalist research-grade observations
3330409809,12.884839,77.465212,Amphiesma stolatum,2015,iNaturalist research-grade observations
3330519837,12.884632,77.464914,Amphiesma stolatum,2015,iNaturalist research-grade observations
3330524872,12.884843,77.465204,Amphiesma stolatum,2015,iNaturalist research-grade observations
3330434839,12.884415,77.464665,Amphiesma stolatum,2015,iNaturalist research-grade observations
3330411853,12.883151,77.464047,Amphiesma stolatum,2015,iNaturalist research-grade observations
3330533879,12.884791,77.465868,Amphiesma stolatum,2015,iNaturalist research-grade observations
3330476817,12.883782,77.464311,Amphiesma stolatum,2015,iNaturalist research-grade observations
5759851263,12.58782,78.666545,Amphiesma stolatum,2014,iNaturalist research-grade observations
2598670962,11.446329,76.850655,Amphiesma stolatum,2013,
3384734849,12.213606,79.0296,Amphiesma stolatum,2011,iNaturalist research-grade observations
3903097206,12.926287,77.532372,Amphiesma stolatum,2010,iNaturalist research-grade observations
2883078403,11.467582,76.549257,Amphiesma stolatum,2010,iNaturalist research-grade observations
3858858309,11.969173,76.047824,Amphiesma stolatum,2010,iNaturalist research-grade observations
4507591336,11.98306,77.141589,Amphiesma stolatum,2005,iNaturalist research-grade observations
382954644,12.817735,77.550125,Amphiesma stolatum,2026,iNaturalist/research
371131946,11.3689451111,76.7723235833,Amphiesma stolatum,2026,iNaturalist/research
368888143,11.237238,77.1429438,Amphiesma stolatum,2026,iNaturalist/research
319758499,11.7148629619,78.1810689345,Amphiesma stolatum,2025,iNaturalist/research
304655841,13.20902,77.5132216667,Amphiesma stolatum,2025,iNaturalist/research
301167878,12.1926116205,76.6437152401,Amphiesma stolatum,2025,iNaturalist/research
244721254,11.5007013722,77.4666696042,Amphiesma stolatum,2024,iNaturalist/research
242049733,13.5853174079,79.4310205802,Amphiesma stolatum,2024,iNaturalist/research
241119397,12.8847946189,77.4638723955,Amphiesma stolatum,2024,iNaturalist/research
245537028,12.731832259,77.7062326195,Amphiesma stolatum,2024,iNaturalist/research
233444241,13.10707009,77.43802178,Amphiesma stolatum,2024,iNaturalist/research
219081107,12.7425093416,77.7910157293,Amphiesma stolatum,2024,iNaturalist/research
229723373,11.6625160585,76.682879515,Amphiesma stolatum,2024,iNaturalist/research
192582323,12.6932198977,77.2968254238,Amphiesma stolatum,2023,iNaturalist/research
305603501,12.7480997828,77.2997829387,Amphiesma stolatum,2023,iNaturalist/research
184392168,11.8926533333,78.6123666667,Amphiesma stolatum,2023,iNaturalist/research
160720928,13.373638,77.207334,Amphiesma stolatum,2023,iNaturalist/research
156845255,12.914859581,77.5206393376,Amphiesma stolatum,2023,iNaturalist/research
145261197,12.8795054,79.4061268,Amphiesma stolatum,2022,iNaturalist/research
133611425,11.9105661374,78.6164658889,Amphiesma stolatum,2022,iNaturalist/research
313419346,12.8383831635,77.7631878108,Amphiesma stolatum,2022,iNaturalist/research
146099667,11.2060054388,78.4849618748,Amphiesma stolatum,2022,iNaturalist/research
111179456,13.5846683333,79.4295166667,Amphiesma stolatum,2022,iNaturalist/research
105014090,12.7827358246,76.9169921875,Amphiesma stolatum,2022,iNaturalist/research
96657154,13.5845510626,79.4325089189,Amphiesma stolatum,2021,iNaturalist/research
123298217,12.2958104,76.6393805,Amphiesma stolatum,2021,iNaturalist/research
56723904,12.3691310833,76.0205154167,Amphiesma stolatum,2020,iNaturalist/research
202379301,11.3794358011,76.7736277963,Amphiesma stolatum,2019,iNaturalist/research
63146671,11.310665345,78.3649683771,Amphiesma stolatum,2018,iNaturalist/research
15008805,12.3162806492,77.4317690086,Amphiesma stolatum,2018,iNaturalist/research
247591320,12.2227233,76.6272876,Amphiesma stolatum,2018,iNaturalist/research
87447936,12.8844149591,77.4646647095,Amphiesma stolatum,2015,iNaturalist/research
371882764,12.8465429706,77.7764077485,Amphiesma stolatum,,iNaturalist
