id,lat,lon,species,year,dataset
4035442103,11.89516,78.53513,Atalantia racemosa,1985,
4035442104,12.466648,77.910299,Atalantia racemosa,1985,
4035442071,12.031527,77.613056,Atalantia racemosa,1984,
4035442113,11.329666,76.889212,Atalantia racemosa,1984,
356394609,11.338625,76.829524,Atalantia racemosa,2026,iNaturalist
336228772,12.2826251944,77.3736953611,Atalantia racemosa,2026,iNaturalist
283321363,11.2575472222,76.7501944444,Atalantia racemosa,2025,iNaturalist
263530870,12.6419881973,77.4460431412,Atalantia racemosa,2025,iNaturalist/research
220486847,11.2579579465,76.7628020514,Atalantia racemosa,2024,iNaturalist
221048224,12.4157172207,78.8100589573,Atalantia racemosa,2024,iNaturalist
208674042,11.261663083,76.764414059,Atalantia racemosa,2024,iNaturalist
169026618,12.3418055556,78.6821888889,Atalantia racemosa,2023,iNaturalist
163271607,12.3398444444,78.6809694444,Atalantia racemosa,2023,iNaturalist
151291869,12.3556283333,78.6796116667,Atalantia racemosa,2023,iNaturalist
151291763,12.3419616667,78.6819533333,Atalantia racemosa,2023,iNaturalist
96460060,12.2666967199,78.6125590599,Atalantia racemosa,2021,iNaturalist/research
284752772,12.8906886741,77.7461212501,Atalantia racemosa,,iNaturalist
