id,lat,lon,species,year,dataset
6171584723,11.25451,76.754187,Dimocarpus longan,2025,
4872298851,11.0948,76.725535,Dimocarpus longan,2024,iNaturalist research-grade observations
4872414663,12.936343,77.608505,Dimocarpus longan,2023,iNaturalist research-grade observations
4872399469,12.694387,78.061295,Dimocarpus longan,2023,iNaturalist research-grade observations
2856729546,11.064129,76.537816,Dimocarpus longan,2019,iNaturalist research-grade observations
6184302539,11.09689,76.45581,Dimocarpus longan,2012,
6184306237,11.08269,76.47297,Dimocarpus longan,2012,
6184306252,11.08231,76.47456,Dimocarpus longan,2012,
6184316599,11.10803,76.42275,Dimocarpus longan,2012,
6184318990,11.11172,76.42097,Dimocarpus longan,2012,
6184320204,11.10797,76.42042,Dimocarpus longan,2012,
6184320824,11.09553,76.45514,Dimocarpus longan,2012,
2465005829,11.31,77.93,Dimocarpus longan,2007,FungalRoot - Mycorrhiza intensity projec
4035444528,11.329666,76.889212,Dimocarpus longan,1984,
380168078,12.9623233333,77.124585,Dimocarpus longan,2026,iNaturalist/research
378278270,12.5477485556,77.9990234167,Dimocarpus longan,2026,iNaturalist
373128077,12.9450329,77.5802076,Dimocarpus longan,2026,iNaturalist
368922894,12.3997184923,76.7557065189,Dimocarpus longan,2026,iNaturalist
345877743,11.7842555679,78.2061164081,Dimocarpus longan,2026,iNaturalist
325061150,11.4169011936,76.2566942678,Dimocarpus longan,2025,iNaturalist
317752133,13.0193511997,77.6763083786,Dimocarpus longan,2025,iNaturalist/research
311850309,11.0990766667,76.74704,Dimocarpus longan,2025,iNaturalist
301094341,13.1560472222,77.5644333333,Dimocarpus longan,2025,iNaturalist
282680986,11.098874388,76.7458524182,Dimocarpus longan malesianus,2025,iNaturalist
276453526,11.2769939154,76.7336407898,Dimocarpus longan,2025,iNaturalist
268660877,12.7988176234,78.3059854433,Dimocarpus longan,2025,iNaturalist
207209242,12.9480179722,77.581078,Dimocarpus longan,2024,iNaturalist
214098519,11.0947999,76.7255354,Dimocarpus longan,2024,iNaturalist/research
179077625,12.6943866667,78.0612945,Dimocarpus longan,2023,iNaturalist/research
149416793,12.9363431931,77.608505249,Dimocarpus longan,2023,iNaturalist/research
69201355,11.5406280556,76.0274966667,Dimocarpus longan,2021,iNaturalist
64601985,11.2676671313,77.5901479949,Dimocarpus longan,2020,iNaturalist
168968038,11.7485158041,78.1914430484,Dimocarpus longan,,iNaturalist
