id,lat,lon,species,year,dataset
6131175628,12.436958,77.773303,Elephas maximus,2026,iNaturalist research-grade observations
6131511352,12.644363,77.536176,Elephas maximus,2026,iNaturalist research-grade observations
6422258488,12.751314,77.794482,Elephas maximus,2026,iNaturalist research-grade observations
6422897504,12.632377,77.516762,Elephas maximus,2025,iNaturalist research-grade observations
5892896627,12.142772,77.725972,Elephas maximus,2025,iNaturalist research-grade observations
5909160169,12.578045,77.517344,Elephas maximus,2025,iNaturalist research-grade observations
4512329537,12.714468,77.832668,Elephas maximus,2024,iNaturalist research-grade observations
4516557832,12.55578,77.975197,Elephas maximus,2024,iNaturalist research-grade observations
4863861757,12.205782,77.665051,Elephas maximus,2024,iNaturalist research-grade observations
4863590558,12.964336,77.578184,Elephas maximus,2024,iNaturalist research-grade observations
4863813594,12.668142,77.840694,Elephas maximus,2024,iNaturalist research-grade observations
4852144820,12.303294,77.955606,Elephas maximus,2024,iNaturalist research-grade observations
4945556866,12.657325,77.486889,Elephas maximus,2024,iNaturalist research-grade observations
5216851501,12.773118,77.559177,Elephas maximus,2024,iNaturalist research-grade observations
4039561565,12.6565,77.549114,Elephas maximus,2023,iNaturalist research-grade observations
4102912185,12.605117,77.517284,Elephas maximus,2023,iNaturalist research-grade observations
4121150072,12.356865,77.87562,Elephas maximus,2023,iNaturalist research-grade observations
4171401731,12.542656,77.607006,Elephas maximus,2023,iNaturalist research-grade observations
4165675944,12.238173,77.622953,Elephas maximus,2023,iNaturalist research-grade observations
4414098800,12.70487,77.674284,Elephas maximus,2023,iNaturalist research-grade observations
4420870122,12.946908,77.500846,Elephas maximus,2023,iNaturalist research-grade observations
3456222094,12.772,77.499955,Elephas maximus,2022,iNaturalist research-grade observations
3947618141,12.276132,77.598325,Elephas maximus,2022,iNaturalist research-grade observations
5140231878,12.731734,77.526807,Elephas maximus,2021,iNaturalist research-grade observations
3874040456,12.799134,77.576527,Elephas maximus,2021,iNaturalist research-grade observations
4442388464,12.657933,77.530568,Elephas maximus,2021,iNaturalist research-grade observations
4014873417,12.879722,77.564761,Elephas maximus,2020,iNaturalist research-grade observations
2856768181,12.727683,77.870628,Elephas maximus,2020,iNaturalist research-grade observations
3327850633,12.467286,77.681512,Elephas maximus,2013,iNaturalist research-grade observations
3327874475,12.570503,77.721962,Elephas maximus,2013,iNaturalist research-grade observations
3113474367,12.588188,77.641126,Elephas maximus,2013,iNaturalist research-grade observations
3330742813,12.527347,77.74289,Elephas maximus,2013,iNaturalist research-grade observations
2598675574,12.222321,77.557983,Elephas maximus,2012,
2598675524,12.210912,77.838821,Elephas maximus,2012,
2598657457,12.203194,77.573776,Elephas maximus,2012,
3328123486,12.566897,77.793843,Elephas maximus,2012,iNaturalist research-grade observations
2598660684,12.385343,77.856674,Elephas maximus,2011,
2598675586,12.200509,77.664757,Elephas maximus,2010,
3327756262,12.57975,77.74314,Elephas maximus,2010,iNaturalist research-grade observations
2598675571,12.51676,77.628708,Elephas maximus,2010,
3328018944,12.567529,77.735864,Elephas maximus,2010,iNaturalist research-grade observations
2598667570,12.337721,77.619781,Elephas maximus,2010,
3325966346,12.465735,77.677758,Elephas maximus,2010,iNaturalist research-grade observations
2598675573,12.49665,77.820969,Elephas maximus,2009,
3327868422,12.413976,77.713846,Elephas maximus,2009,iNaturalist research-grade observations
2598675577,12.344429,77.866287,Elephas maximus,2009,
3325882399,12.495155,77.656872,Elephas maximus,2009,iNaturalist research-grade observations
3325687896,12.570331,77.673757,Elephas maximus,2009,iNaturalist research-grade observations
4507563345,12.068065,77.528352,Elephas maximus,2005,iNaturalist research-grade observations
361460490,12.9426155135,77.5636147961,Elephas maximus,2026,iNaturalist/research
358830790,12.9290994962,77.5804458271,Elephas maximus,2026,iNaturalist/research
374673853,12.1481849876,77.7224449756,Elephas maximus indicus,2026,iNaturalist/research
339483660,12.5818446214,77.5775064637,Elephas maximus,2026,iNaturalist
342518946,12.4645431247,77.5749403296,Elephas maximus indicus,2026,iNaturalist
338202603,12.6782739837,77.5290267073,Elephas maximus,2026,iNaturalist
338291970,12.4301087576,77.6049049574,Elephas maximus,2026,iNaturalist
345053147,12.7969854252,77.4830912539,Elephas maximus,2026,iNaturalist/research
331898601,12.3882273456,77.5912945177,Elephas maximus indicus,2025,iNaturalist/research
327478838,12.4139049625,77.8922618942,Elephas maximus,2025,iNaturalist
314549928,12.6912298272,78.2236880834,Elephas maximus,2025,iNaturalist
314549906,12.6182906238,78.2958974005,Elephas maximus,2025,iNaturalist
309668077,12.4706085248,78.3014543823,Elephas maximus,2025,iNaturalist
347531684,12.7847083315,77.5762467248,Elephas maximus,2025,iNaturalist
286865654,13.1179400956,78.6424786829,Elephas maximus,2025,iNaturalist
274688158,12.2586748918,77.6885671749,Elephas maximus indicus,2025,iNaturalist/research
263530881,12.7676119386,77.5665190902,Elephas maximus,2025,iNaturalist
262949242,12.6929588698,77.573540507,Elephas maximus,2025,iNaturalist
259661715,12.680068618,77.4870720238,Elephas maximus,2025,iNaturalist/research
259661710,12.6755344259,77.5455625007,Elephas maximus,2025,iNaturalist/research
259661705,12.7930978525,77.5631824391,Elephas maximus,2025,iNaturalist
259661678,12.6491276599,77.5943929646,Elephas maximus,2025,iNaturalist
259661669,12.7905825076,77.5146949246,Elephas maximus,2025,iNaturalist/research
259661668,12.728663314,77.5945109619,Elephas maximus,2025,iNaturalist/research
258456503,12.6465230847,77.5955179105,Elephas maximus,2025,iNaturalist
258456507,12.6422269228,77.5963891732,Elephas maximus,2025,iNaturalist/research
258273577,12.6175723942,77.5512976148,Elephas maximus indicus,2025,iNaturalist
256508076,12.6289936131,77.5842947487,Elephas maximus,2024,iNaturalist/research
256354825,12.6183790907,77.5136576537,Elephas maximus indicus,2024,iNaturalist/research
282579893,12.6008038037,77.7477696377,Elephas maximus indicus,2024,iNaturalist
245702965,12.7582609512,77.642731655,Elephas maximus indicus,2024,iNaturalist/research
245189370,12.7387973149,77.7364330165,Elephas maximus indicus,2024,iNaturalist/research
234674580,12.6522553044,77.5566206614,Elephas maximus indicus,2024,iNaturalist
245669219,12.6627394246,77.798513712,Elephas maximus indicus,2024,iNaturalist/research
220827337,12.95830718,77.5197274738,Elephas maximus,2024,iNaturalist
213818532,12.7858551266,77.7968856045,Elephas maximus indicus,2024,iNaturalist/research
213824889,12.7420283177,77.6733670469,Elephas maximus indicus,2024,iNaturalist/research
210939506,12.6273441391,77.5027814521,Elephas maximus,2024,iNaturalist
200195715,13.0389946949,77.6149375116,Elephas maximus indicus,2024,iNaturalist
210928550,12.7955147595,77.5463338409,Elephas maximus indicus,2024,iNaturalist
198195490,12.9124184285,77.5997656299,Elephas maximus indicus,2024,iNaturalist/research
198195539,12.9584916244,77.589975283,Elephas maximus indicus,2024,iNaturalist/research
198418328,12.9109819216,77.5613711821,Elephas maximus indicus,2024,iNaturalist/research
195454784,12.1373469308,77.7532081162,Elephas maximus indicus,2024,iNaturalist/research
368704131,12.8044602683,77.558595696,Elephas maximus indicus,2023,iNaturalist
183839722,12.7995523925,77.5687357061,Elephas maximus,2023,iNaturalist
166002779,12.7688294446,77.4966773684,Elephas maximus indicus,2023,iNaturalist/research
234848466,12.8695961434,77.5344938938,Elephas maximus,2023,iNaturalist
162610340,12.3568646838,77.875619868,Elephas maximus indicus,2023,iNaturalist/research
151565597,12.8072736742,77.7595027518,Elephas maximus,2023,iNaturalist
144828661,12.687338557,77.5027824516,Elephas maximus,2022,iNaturalist
