id,lat,lon,species,year,dataset
6129827786,11.814485,76.085317,Elephas maximus,2026,iNaturalist research-grade observations
6130043119,12.32854,76.171272,Elephas maximus,2026,iNaturalist research-grade observations
6130107426,11.470553,76.523152,Elephas maximus,2026,iNaturalist research-grade observations
6131175628,12.436958,77.773303,Elephas maximus,2026,iNaturalist research-grade observations
6131511352,12.644363,77.536176,Elephas maximus,2026,iNaturalist research-grade observations
6133125097,11.383967,76.843202,Elephas maximus,2026,iNaturalist research-grade observations
6147642931,11.87958,76.139106,Elephas maximus,2026,iNaturalist research-grade observations
6159482253,11.878934,76.001817,Elephas maximus,2026,iNaturalist research-grade observations
6159494274,12.094071,76.075833,Elephas maximus,2026,iNaturalist research-grade observations
6185476499,11.43869,76.649055,Elephas maximus,2026,iNaturalist research-grade observations
6234461738,11.534577,76.483854,Elephas maximus,2026,iNaturalist research-grade observations
6159510440,11.610414,76.501904,Elephas maximus,2026,iNaturalist research-grade observations
6159528107,11.170413,76.799861,Elephas maximus,2026,iNaturalist research-grade observations
6159572830,11.741053,76.678971,Elephas maximus,2026,iNaturalist research-grade observations
6159610527,12.535483,77.465504,Elephas maximus,2026,iNaturalist research-grade observations
6161823404,11.485408,76.436691,Elephas maximus,2026,
6163257783,11.708403,76.433402,Elephas maximus,2026,iNaturalist research-grade observations
6171028393,12.0245,76.136036,Elephas maximus,2026,iNaturalist research-grade observations
6171087151,11.866251,77.026405,Elephas maximus,2026,iNaturalist research-grade observations
6171173887,11.387514,76.768768,Elephas maximus,2026,iNaturalist research-grade observations
6178935428,12.442271,77.438122,Elephas maximus,2026,iNaturalist research-grade observations
6400591705,11.677038,76.164615,Elephas maximus,2026,iNaturalist research-grade observations
6185334806,11.087943,76.609494,Elephas maximus,2026,iNaturalist research-grade observations
6188204072,11.628511,76.770546,Elephas maximus,2026,iNaturalist research-grade observations
6188222564,11.7636,76.701857,Elephas maximus,2026,iNaturalist research-grade observations
6235044631,11.620025,76.909478,Elephas maximus,2026,iNaturalist research-grade observations
6188222165,11.910592,76.17613,Elephas maximus,2026,iNaturalist research-grade observations
6235224516,11.852558,76.162278,Elephas maximus,2026,iNaturalist research-grade observations
6235240383,11.984923,76.285637,Elephas maximus,2026,iNaturalist research-grade observations
6235913914,11.911488,76.043567,Elephas maximus,2026,iNaturalist research-grade observations
6236177174,11.987366,76.080463,Elephas maximus,2026,iNaturalist research-grade observations
6398678824,11.684647,76.677861,Elephas maximus,2026,iNaturalist research-grade observations
