id,lat,lon,species,year,dataset
5897564670,12.742348,77.506204,Grypotyphlops acutus,2025,iNaturalist research-grade observations
4891673845,13.051043,77.749015,Grypotyphlops acutus,2024,iNaturalist research-grade observations
4891971418,13.050958,77.749075,Grypotyphlops acutus,2024,iNaturalist research-grade observations
4903761675,13.050947,77.748675,Grypotyphlops acutus,2024,iNaturalist research-grade observations
3923240560,11.947867,77.661628,Grypotyphlops acutus,2022,iNaturalist research-grade observations
3925123811,11.946206,77.664828,Grypotyphlops acutus,2022,iNaturalist research-grade observations
3384165085,13.425859,77.505462,Grypotyphlops acutus,2020,iNaturalist research-grade observations
5134626861,13.433549,77.502304,Grypotyphlops acutus,2020,iNaturalist research-grade observations
3384460127,13.055624,77.536708,Grypotyphlops acutus,2020,iNaturalist research-grade observations
307291613,12.2249533333,79.0533138333,Grypotyphlops acutus,2025,iNaturalist/research
289205700,11.0457015159,78.7745560197,Grypotyphlops acutus,2025,iNaturalist/research
250667268,12.2257333333,79.0529861667,Grypotyphlops acutus,2024,iNaturalist/research
137435312,12.7613557071,77.5164728612,Grypotyphlops acutus,2022,iNaturalist/research
