id,lat,lon,species,year,dataset
6352468035,13.174755,77.528297,Lycodon striatus,2026,iNaturalist research-grade observations
5838347448,12.597017,78.03205,Lycodon striatus,2025,iNaturalist research-grade observations
4855557921,13.05238,77.626518,Lycodon striatus,2024,iNaturalist research-grade observations
4976321180,13.366389,77.133247,Lycodon striatus,2024,iNaturalist research-grade observations
4908580683,13.173541,78.037838,Lycodon striatus,2023,iNaturalist research-grade observations
4116342668,12.626801,78.103452,Lycodon striatus,2023,iNaturalist research-grade observations
4162214894,12.832975,77.414146,Lycodon striatus,2023,iNaturalist research-grade observations
4165376633,13.490497,77.704992,Lycodon striatus,2023,iNaturalist research-grade observations
4165654548,13.46939,77.686731,Lycodon striatus,2023,iNaturalist research-grade observations
5206245377,12.809766,77.463718,Lycodon striatus,2023,iNaturalist research-grade observations
5206590368,13.468145,77.610653,Lycodon striatus,2023,iNaturalist research-grade observations
6130356573,12.879732,77.497261,Lycodon striatus,2023,iNaturalist research-grade observations
3925199515,13.108873,77.525759,Lycodon striatus,2022,iNaturalist research-grade observations
3344092694,11.571214,78.151219,Lycodon striatus,2021,iNaturalist research-grade observations
2423218944,12.882015,79.133266,Lycodon striatus,2019,iNaturalist research-grade observations
1931478051,12.268082,78.987218,Lycodon striatus,2018,iNaturalist research-grade observations
2282998585,12.268096,78.986031,Lycodon striatus,2018,iNaturalist research-grade observations
3384343800,12.21327,79.029429,Lycodon striatus,2015,iNaturalist research-grade observations
4426848418,11.3427,76.87007,Lycodon striatus,2015,International records of herpetofauna pu
4421277545,11.535538,77.259911,Lycodon striatus,2014,iNaturalist research-grade observations
2826435665,13.059128,77.670606,Lycodon striatus,2014,iNaturalist research-grade observations
3034591660,13.065286,77.656805,Lycodon striatus,2014,
2598662948,13.308877,76.942406,Lycodon striatus,2013,
4424635358,12.959467,77.308838,Lycodon striatus,2005,iNaturalist research-grade observations
373977890,12.7764496416,77.3058879375,Lycodon striatus,2026,iNaturalist
365770432,13.1747550833,77.5282974167,Lycodon striatus,2026,iNaturalist/research
347216629,12.9679862753,77.372615139,Lycodon striatus,2026,iNaturalist/research
329682974,12.27993,79.041,Lycodon striatus,2025,iNaturalist/research
290719192,11.7005367222,78.1054229722,Lycodon striatus,2025,iNaturalist/research
262774918,12.8473088583,77.7764821798,Lycodon striatus,2025,iNaturalist/research
201475139,12.913675,77.4693966667,Lycodon striatus,2024,iNaturalist/research
166095615,11.6419232031,76.6897204891,Lycodon striatus,2023,iNaturalist/research
295959148,12.6592166667,76.64785,Lycodon striatus,2022,iNaturalist/research
33313980,12.8820148803,79.1332658753,Lycodon striatus,2019,iNaturalist/research
