id,lat,lon,species,year,dataset
6129946380,12.810318,77.575362,Naja naja,2026,iNaturalist research-grade observations
6130154583,13.070583,77.579217,Naja naja,2026,iNaturalist research-grade observations
6131357853,12.797467,77.578987,Naja naja,2026,iNaturalist research-grade observations
6179288195,11.282797,76.88633,Naja naja,2026,iNaturalist research-grade observations
6133287910,12.891503,77.592306,Naja naja,2026,iNaturalist research-grade observations
6185932339,13.087307,77.597657,Naja naja,2026,iNaturalist research-grade observations
6187975334,12.84645,77.774486,Naja naja,2026,iNaturalist research-grade observations
6320931856,13.696224,77.651465,Naja naja,2026,iNaturalist research-grade observations
6399210186,13.412871,77.664572,Naja naja,2026,iNaturalist research-grade observations
6399994672,12.74015,77.7894,Naja naja,2026,iNaturalist research-grade observations
6400893337,13.05973,77.639746,Naja naja,2026,iNaturalist research-grade observations
6413895679,12.786717,77.65152,Naja naja,2026,iNaturalist research-grade observations
6422460706,13.070401,77.577166,Naja naja,2026,iNaturalist research-grade observations
6422489333,13.057953,77.639842,Naja naja,2026,iNaturalist research-grade observations
6423101414,13.209539,77.513336,Naja naja,2026,iNaturalist research-grade observations
6423177578,13.209013,77.512939,Naja naja,2026,iNaturalist research-grade observations
6431073608,13.070086,77.580437,Naja naja,2026,iNaturalist research-grade observations
6441194741,13.071968,77.581421,Naja naja,2026,iNaturalist research-grade observations
5007152663,12.287715,76.682171,Naja naja,2025,iNaturalist research-grade observations
5063481091,12.759125,78.207793,Naja naja,2025,iNaturalist research-grade observations
5064044403,12.6195,78.0326,Naja naja,2025,iNaturalist research-grade observations
5839956026,12.885542,77.46457,Naja naja,2025,iNaturalist research-grade observations
5070110344,12.980147,77.595852,Naja naja,2025,iNaturalist research-grade observations
5077111753,12.377538,76.661962,Naja naja,2025,iNaturalist research-grade observations
5077117734,13.077642,77.580747,Naja naja,2025,iNaturalist research-grade observations
5840070862,12.884705,77.465055,Naja naja,2025,iNaturalist research-grade observations
5840326532,12.889595,77.441392,Naja naja,2025,iNaturalist research-grade observations
5087501231,12.564891,77.031079,Naja naja,2025,iNaturalist research-grade observations
5087650145,12.6202,78.0325,Naja naja,2025,iNaturalist research-grade observations
5840457318,12.881567,77.465501,Naja naja,2025,iNaturalist research-grade observations
5840545936,12.884863,77.464822,Naja naja,2025,iNaturalist research-grade observations
5140788644,12.675913,77.767364,Naja naja,2025,iNaturalist research-grade observations
6353350639,12.620045,78.033192,Naja naja,2025,iNaturalist research-grade observations
5167579530,13.072978,77.577861,Naja naja,2025,iNaturalist research-grade observations
5844057683,12.890338,77.441605,Naja naja,2025,iNaturalist research-grade observations
5844267208,12.8858,77.442505,Naja naja,2025,iNaturalist research-grade observations
5844289045,12.843592,77.498512,Naja naja,2025,iNaturalist research-grade observations
