id,lat,lon,species,year,dataset
5199008899,26.973064,92.963259,Rhyticeros undulatus,2025,iNaturalist research-grade observations
5495469545,26.967579,92.96083,Rhyticeros undulatus,2024,
4779155071,26.955164,92.94494,Rhyticeros undulatus,2023,
4683023482,26.94773,92.95303,Rhyticeros undulatus,2023,
5619710643,26.955187,92.945114,Rhyticeros undulatus,2022,
1714350815,26.948454,92.95299,Rhyticeros undulatus,2016,
1716967524,26.959406,92.956665,Rhyticeros undulatus,2016,
1350877344,26.957281,92.9477,Rhyticeros undulatus,2015,
4465357311,26.948413,92.94507,Rhyticeros undulatus,2012,iNaturalist research-grade observations
6359130399,26.94912,92.9526,Rhyticeros undulatus,,
6359133354,26.95967,92.94401,Rhyticeros undulatus,,
