id,lat,lon,species,year,dataset
6131518975,13.06763,77.57851,Thelacantha brevispina,2026,iNaturalist research-grade observations
6163256871,13.275978,77.195162,Thelacantha brevispina,2026,iNaturalist research-grade observations
6179098334,12.28456,76.628218,Thelacantha brevispina,2026,iNaturalist research-grade observations
6413989090,12.728704,78.188687,Thelacantha brevispina,2026,iNaturalist research-grade observations
5063194087,12.880434,77.690236,Thelacantha brevispina,2025,iNaturalist research-grade observations
5237711406,12.377462,76.662041,Thelacantha brevispina,2025,iNaturalist research-grade observations
5167505550,12.894999,79.132211,Thelacantha brevispina,2025,iNaturalist research-grade observations
5215839668,13.423374,77.514466,Thelacantha brevispina,2025,iNaturalist research-grade observations
5217273147,13.433549,77.502304,Thelacantha brevispina,2025,iNaturalist research-grade observations
5215833208,12.86084,77.599154,Thelacantha brevispina,2025,iNaturalist research-grade observations
6159652842,12.814691,77.697655,Thelacantha brevispina,2025,iNaturalist research-grade observations
6188107809,13.120263,77.616979,Thelacantha brevispina,2025,iNaturalist research-grade observations
5844149304,12.846787,77.776078,Thelacantha brevispina,2025,iNaturalist research-grade observations
5909035755,12.267589,76.597709,Thelacantha brevispina,2025,iNaturalist research-grade observations
6235954756,11.178598,77.145759,Thelacantha brevispina,2025,iNaturalist research-grade observations
4919577656,12.2675,76.597778,Thelacantha brevispina,2024,iNaturalist research-grade observations
4046791307,13.137927,79.259297,Thelacantha brevispina,2023,iNaturalist research-grade observations
4171507948,12.861902,77.594137,Thelacantha brevispina,2023,iNaturalist research-grade observations
4405473375,11.487091,76.34135,Thelacantha brevispina,2023,iNaturalist research-grade observations
4420747088,12.971599,77.594563,Thelacantha brevispina,2023,iNaturalist research-grade observations
3499468060,13.076211,77.613208,Thelacantha brevispina,2022,iNaturalist research-grade observations
4405190466,13.104008,76.020697,Thelacantha brevispina,2022,iNaturalist research-grade observations
4522479481,12.878283,77.530804,Thelacantha brevispina,2022,iNaturalist research-grade observations
4405183496,12.770706,77.889603,Thelacantha brevispina,2022,iNaturalist research-grade observations
3032117915,12.903267,77.686528,Thelacantha brevispina,2021,iNaturalist research-grade observations
3399288570,12.88411,77.463864,Thelacantha brevispina,2021,iNaturalist research-grade observations
2868097717,13.066984,77.575667,Thelacantha brevispina,2020,iNaturalist research-grade observations
2883050263,13.06737,77.572326,Thelacantha brevispina,2020,iNaturalist research-grade observations
2901514817,12.990151,77.662402,Thelacantha brevispina,2020,iNaturalist research-grade observations
2451682081,13.119111,77.586678,Thelacantha brevispina,2019,iNaturalist research-grade observations
2451692847,13.102518,77.597939,Thelacantha brevispina,2019,iNaturalist research-grade observations
2826232120,13.081105,77.614496,Thelacantha brevispina,2019,iNaturalist research-grade observations
5216718314,13.081105,77.614494,Thelacantha brevispina,2019,iNaturalist research-grade observations
3090815890,13.094401,77.607995,Thelacantha brevispina,2017,iNaturalist research-grade observations
2598682753,12.225285,79.074699,Thelacantha brevispina,2015,
3948921030,12.96557,77.60625,Thelacantha brevispina,2014,
367028769,13.5900883333,78.480255,Thelacantha brevispina,2026,iNaturalist/research
351101701,12.8452628902,77.7768751234,Thelacantha brevispina,2026,iNaturalist
344828762,12.3770081542,76.6493217275,Thelacantha brevispina,2026,iNaturalist
341215924,12.502238,78.5656149722,Thelacantha brevispina,2026,iNaturalist/research
328748515,12.42414736,76.65678539,Thelacantha brevispina,2025,iNaturalist
328163519,12.3774818997,76.6620072997,Thelacantha brevispina,2025,iNaturalist
326450199,12.9866623864,77.4427721277,Thelacantha brevispina,2025,iNaturalist/research
323395733,12.9668913152,77.499188371,Thelacantha brevispina,2025,iNaturalist/research
317186167,12.8543147,77.5099453,Thelacantha brevispina,2025,iNaturalist
316645903,11.8556777778,76.0516138889,Thelacantha brevispina,2025,iNaturalist
314526613,12.2627045,76.621415,Thelacantha brevispina,2025,iNaturalist/research
311865252,12.8820782867,77.5078160316,Thelacantha brevispina,2025,iNaturalist
310099886,13.0672083333,77.5723638889,Thelacantha brevispina,2025,iNaturalist
308370026,12.9866369037,77.4427198246,Thelacantha brevispina,2025,iNaturalist/research
327462502,12.8146906984,77.6976554096,Thelacantha brevispina,2025,iNaturalist/research
305954114,13.0638406,77.6201193997,Thelacantha brevispina,2025,iNaturalist
298486367,12.7378311472,77.5029888083,Thelacantha brevispina,2025,iNaturalist/research
311745755,13.4323744023,77.5009411946,Thelacantha brevispina,2025,iNaturalist/research
289852003,13.0487078048,77.663519606,Thelacantha brevispina,2025,iNaturalist/research
288947175,11.1961038871,77.2092399001,Thelacantha brevispina,2025,iNaturalist
282832223,12.9025083333,77.6687866667,Thelacantha brevispina,2025,iNaturalist
262895740,11.827364821,78.7112759426,Thelacantha brevispina,2025,iNaturalist/research
258807911,12.2689064537,76.6115626461,Thelacantha brevispina,2025,iNaturalist/research
247105096,12.7064588784,77.4717955203,Thelacantha brevispina,2024,iNaturalist/research
334736776,12.5462442,77.4198823,Thelacantha brevispina,2024,iNaturalist
243620659,12.9362362704,77.6061887294,Thelacantha brevispina,2024,iNaturalist/research
236924267,12.8834023022,77.4637050927,Thelacantha brevispina,2024,iNaturalist
230978852,12.9047127253,79.3238106743,Thelacantha brevispina,2024,iNaturalist
197293935,12.1467878,76.377475,Thelacantha brevispina,2024,iNaturalist/research
196737178,12.234715,79.0668705,Thelacantha brevispina,2024,iNaturalist/research
194735344,12.0059554812,79.432223551,Thelacantha brevispina,2023,iNaturalist/research
161795337,13.058670141,77.6143387027,Thelacantha brevispina,2023,iNaturalist
157472065,11.0424416667,76.9337083333,Thelacantha brevispina,2023,iNaturalist/research
143342245,12.2227233,76.6272876,Thelacantha brevispina,2022,iNaturalist/research
120164118,12.9841905576,77.4439439178,Thelacantha brevispina,2022,iNaturalist/research
106492542,11.3410309918,77.7171641216,Thelacantha brevispina,2022,iNaturalist/research
90496052,12.9313055556,77.4670527778,Thelacantha brevispina,2021,iNaturalist/research
